InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,Revenue,InvoiceMonth,CohortMonth,CohortIndex
554651,22170,PICTURE FRAME WOOD TRIPLE PORTRAIT,4,2011-05-25 12:55:00,6.75,12779,Poland,27.0,2011-05,2011-01,4
569651,22737,RIBBON REEL CHRISTMAS PRESENT,5,2011-10-05 12:49:00,1.65,14534,United Kingdom,8.25,2011-10,2011-01,9
567850,23268,SET OF 2 CERAMIC CHRISTMAS REINDEER,12,2011-09-22 13:18:00,1.45,15067,United Kingdom,17.4,2011-09,2011-03,6
570116,22301,COFFEE MUG CAT + BIRD DESIGN,2,2011-10-07 12:38:00,2.55,12856,United Kingdom,5.1,2011-10,2011-10,0
555558,22664,TOY TIDY DOLLY GIRL DESIGN,2,2011-06-05 14:06:00,2.1,14159,United Kingdom,4.2,2011-06,2010-12,6
537399,22965,3 TRADITIONAl BISCUIT CUTTERS  SET,1,2010-12-06 14:31:00,2.1,13030,United Kingdom,2.1,2010-12,2010-12,0
573151,22551,PLASTERS IN TIN SPACEBOY,4,2011-10-27 20:09:00,1.65,17602,United Kingdom,6.6,2011-10,2011-01,9
555638,23106,ZINC HEARTS PLANT POT HOLDER,8,2011-06-06 12:51:00,2.89,15150,United Kingdom,23.12,2011-06,2011-03,3
561006,47599A,PINK PARTY BAGS,6,2011-07-22 15:02:00,2.1,16161,United Kingdom,12.6,2011-07,2010-12,7
541782,22355,CHARLOTTE BAG SUKI DESIGN,10,2011-01-21 11:50:00,0.85,13102,United Kingdom,8.5,2011-01,2010-12,1
565845,23203,JUMBO BAG VINTAGE DOILY,30,2011-09-07 12:21:00,2.08,14709,United Kingdom,62.4,2011-09,2011-01,8
547960,21890,S/6 WOODEN SKITTLES IN COTTON BAG,1,2011-03-28 15:27:00,2.95,15644,United Kingdom,2.95,2011-03,2011-03,0
554016,23254,CHILDRENS CUTLERY DOLLY GIRL,4,2011-05-20 13:14:00,4.15,13243,United Kingdom,16.6,2011-05,2011-05,0
570414,22835,HOT WATER BOTTLE I AM SO POORLY,4,2011-10-10 13:17:00,4.95,17214,United Kingdom,19.8,2011-10,2011-02,8
566561,23551,PACK OF 12 PAISLEY PARK TISSUES,24,2011-09-13 12:13:00,0.39,18145,United Kingdom,9.36,2011-09,2011-01,8
537852,22456,NATURAL SLATE CHALKBOARD LARGE,12,2010-12-08 15:56:00,4.95,17340,United Kingdom,59.4,2010-12,2010-12,0
544083,84378,SET OF 3 HEART COOKIE CUTTERS,12,2011-02-15 15:51:00,1.25,15606,United Kingdom,15.0,2011-02,2011-01,1
555245,23200,JUMBO BAG PEARS,1,2011-06-01 14:12:00,2.08,14800,United Kingdom,2.08,2011-06,2010-12,6
568994,23559,WOODLAND BUNNIES LOLLY MAKERS,6,2011-09-29 16:52:00,2.08,12598,France,12.48,2011-09,2011-02,7
557485,85099F,JUMBO BAG STRAWBERRY,400,2011-06-20 14:38:00,1.79,15769,United Kingdom,716.0,2011-06,2011-02,4
572303,23424,GINGHAM RECIPE BOOK BOX,8,2011-10-23 14:56:00,4.95,18109,United Kingdom,39.6,2011-10,2010-12,10
579413,82486,3 DRAWER ANTIQUE WHITE WOOD CABINET,2,2011-11-29 12:50:00,8.95,13668,United Kingdom,17.9,2011-11,2011-03,8
573551,22470,HEART OF WICKER LARGE,3,2011-10-31 13:35:00,2.95,15044,United Kingdom,8.85,2011-10,2010-12,10
568202,23548,WRAP MAGIC FOREST,25,2011-09-25 15:01:00,0.42,15366,United Kingdom,10.5,2011-09,2010-12,9
566010,22572,ROCKING HORSE GREEN CHRISTMAS,6,2011-09-08 12:05:00,0.85,13700,United Kingdom,5.1,2011-09,2011-01,8
547327,23052,RECYCLED ACAPULCO MAT TURQUOISE,2,2011-03-22 11:28:00,8.25,12681,France,16.5,2011-03,2010-12,3
541265,22661,CHARLOTTE BAG DOLLY GIRL DESIGN,1,2011-01-16 16:23:00,0.85,17609,United Kingdom,0.85,2011-01,2011-01,0
558092,22656,VINTAGE BLUE KITCHEN CABINET,1,2011-06-26 12:54:00,125.0,14808,United Kingdom,125.0,2011-06,2011-06,0
567379,22469,HEART OF WICKER SMALL,40,2011-09-20 10:02:00,1.45,13089,United Kingdom,58.0,2011-09,2010-12,9
567164,48188,DOORMAT WELCOME PUPPIES,1,2011-09-18 11:51:00,8.25,14487,United Kingdom,8.25,2011-09,2011-09,0
566301,82552,WASHROOM METAL SIGN,2,2011-09-11 16:06:00,1.45,16474,United Kingdom,2.9,2011-09,2011-07,2
579531,23328,SET 6 SCHOOL MILK BOTTLES IN CRATE,24,2011-11-30 09:18:00,3.39,17017,United Kingdom,81.36,2011-11,2010-12,11
574234,23426,METAL SIGN DROP YOUR PANTS,6,2011-11-03 12:28:00,2.89,15271,United Kingdom,17.34,2011-11,2010-12,11
563076,22630,DOLLY GIRL LUNCH BOX,320,2011-08-11 16:12:00,1.65,14646,Netherlands,528.0,2011-08,2010-12,8
545059,22507,MEMO BOARD RETROSPOT  DESIGN,4,2011-02-27 13:04:00,4.95,14157,United Kingdom,19.8,2011-02,2011-02,0
558751,22993,SET OF 4 PANTRY JELLY MOULDS,12,2011-07-03 11:26:00,1.25,16009,United Kingdom,15.0,2011-07,2011-07,0
543658,20723,STRAWBERRY CHARLOTTE BAG,30,2011-02-11 10:38:00,0.85,13819,United Kingdom,25.5,2011-02,2011-02,0
577604,22081,RIBBON REEL FLORA + FAUNA,10,2011-11-21 08:57:00,1.65,14300,United Kingdom,16.5,2011-11,2011-11,0
558768,21534,DAIRY MAID LARGE MILK JUG,2,2011-07-03 13:33:00,4.95,15952,United Kingdom,9.9,2011-07,2011-07,0
538843,22637,PIGGY BANK RETROSPOT,2,2010-12-14 13:18:00,2.55,16033,United Kingdom,5.1,2010-12,2010-12,0
566290,23190,BUNDLE OF 3 SCHOOL EXERCISE BOOKS,1,2011-09-11 15:24:00,1.65,14456,United Kingdom,1.65,2011-09,2011-07,2
565481,22624,IVORY KITCHEN SCALES,2,2011-09-05 11:31:00,8.5,16891,United Kingdom,17.0,2011-09,2010-12,9
568833,21034,REX CASH+CARRY JUMBO SHOPPER,4,2011-09-29 11:39:00,0.95,17348,United Kingdom,3.8,2011-09,2011-02,7
544788,21669,BLUE STRIPE CERAMIC DRAWER KNOB,12,2011-02-23 12:18:00,1.25,13089,United Kingdom,15.0,2011-02,2010-12,2
539201,37446,MINI CAKE STAND WITH HANGING CAKES,8,2010-12-16 12:11:00,1.45,14878,United Kingdom,11.6,2010-12,2010-12,0
567968,22578,WOODEN STAR CHRISTMAS SCANDINAVIAN,12,2011-09-23 09:44:00,0.85,12546,Spain,10.2,2011-09,2011-09,0
571406,23436,GIFT BAG LARGE VINTAGE CHRISTMAS,12,2011-10-17 12:12:00,1.25,13871,United Kingdom,15.0,2011-10,2011-03,7
580397,84947,ANTIQUE SILVER TEA GLASS ENGRAVED,3,2011-12-04 11:24:00,1.25,13558,United Kingdom,3.75,2011-12,2011-10,2
556263,23298,SPOTTY BUNTING,4,2011-06-09 18:41:00,4.95,13969,United Kingdom,19.8,2011-06,2010-12,6
561502,84378,SET OF 3 HEART COOKIE CUTTERS,12,2011-07-27 14:14:00,1.25,14305,United Kingdom,15.0,2011-07,2011-07,0
547969,20674,GREEN POLKADOT BOWL,4,2011-03-28 16:27:00,1.25,17238,United Kingdom,5.0,2011-03,2010-12,3
546569,84970S,HANGING HEART ZINC T-LIGHT HOLDER,12,2011-03-15 10:53:00,0.85,14016,EIRE,10.2,2011-03,2011-03,0
570197,46776A,WOVEN BUBBLE GUM CUSHION COVER,1,2011-10-07 15:45:00,4.95,13755,United Kingdom,4.95,2011-10,2011-10,0
545337,22070,SMALL RED RETROSPOT MUG IN BOX,2,2011-03-01 17:28:00,3.75,15984,United Kingdom,7.5,2011-03,2011-03,0
579288,90206C,CRYSTAL DIAMANTE STAR BROOCH,1,2011-11-29 11:05:00,4.95,17772,United Kingdom,4.95,2011-11,2011-11,0
574532,85025B,EAU DE NILE HEART SHAPE PHOTO FRAME,24,2011-11-04 14:19:00,1.65,15676,United Kingdom,39.6,2011-11,2011-03,8
541568,22371,AIRLINE BAG VINTAGE TOKYO 78,12,2011-01-19 12:07:00,3.75,15606,United Kingdom,45.0,2011-01,2011-01,0
544278,22630,DOLLY GIRL LUNCH BOX,12,2011-02-17 12:01:00,1.95,15382,United Kingdom,23.4,2011-02,2011-02,0
544798,21754,HOME BUILDING BLOCK WORD,3,2011-02-23 13:44:00,5.95,17063,United Kingdom,17.85,2011-02,2011-02,0
551467,22178,VICTORIAN GLASS HANGING T-LIGHT,12,2011-04-28 16:20:00,1.25,12600,Germany,15.0,2011-04,2010-12,4
541417,22291,HANGING CHICK CREAM DECORATION,4,2011-01-17 16:23:00,1.45,16033,United Kingdom,5.8,2011-01,2010-12,1
545148,22251,BIRDHOUSE DECORATION MAGIC GARDEN,12,2011-02-28 12:14:00,1.25,13675,United Kingdom,15.0,2011-02,2011-02,0
550723,22386,JUMBO BAG PINK POLKADOT,10,2011-04-20 11:19:00,2.08,17454,United Kingdom,20.8,2011-04,2011-02,2
574011,22470,HEART OF WICKER LARGE,6,2011-11-02 11:52:00,2.95,16884,United Kingdom,17.7,2011-11,2011-11,0
541963,84050,PINK HEART SHAPE EGG FRYING PAN,2,2011-01-24 13:06:00,1.65,17799,United Kingdom,3.3,2011-01,2010-12,1
554711,21559,STRAWBERRY LUNCH BOX WITH CUTLERY,6,2011-05-26 10:41:00,2.55,12654,Germany,15.3,2011-05,2011-02,3
549991,22725,ALARM CLOCK BAKELIKE CHOCOLATE,8,2011-04-14 08:13:00,3.75,18229,United Kingdom,30.0,2011-04,2011-03,1
559064,22197,POPCORN HOLDER,12,2011-07-06 10:15:00,0.85,15673,United Kingdom,10.2,2011-07,2011-01,6
574741,21625,VINTAGE UNION JACK APRON,2,2011-11-06 16:13:00,6.95,15993,United Kingdom,13.9,2011-11,2011-10,1
544637,22262,FELT EGG COSY CHICKEN,24,2011-02-22 11:20:00,0.85,16546,United Kingdom,20.4,2011-02,2010-12,2
574744,22467,GUMBALL COAT RACK,6,2011-11-07 07:38:00,2.55,16612,United Kingdom,15.3,2011-11,2011-02,9
554549,22430,ENAMEL WATERING CAN CREAM,4,2011-05-25 09:57:00,4.95,12747,United Kingdom,19.8,2011-05,2011-01,4
568480,22485,SET OF 2 WOODEN MARKET CRATES,12,2011-09-27 11:52:00,10.95,17490,United Kingdom,131.4,2011-09,2011-09,0
575075,23342,MINT DINER WALL CLOCK,1,2011-11-08 13:19:00,8.5,13975,United Kingdom,8.5,2011-11,2011-03,8
566296,23391,I LOVE LONDON MINI BACKPACK,1,2011-09-11 15:47:00,4.15,17841,United Kingdom,4.15,2011-09,2010-12,9
551516,22433,WATERING CAN GREEN DINOSAUR,3,2011-05-01 11:10:00,1.95,14800,United Kingdom,5.85,2011-05,2010-12,5
538379,22966,GINGERBREAD MAN COOKIE CUTTER,1,2010-12-12 11:26:00,1.25,17126,United Kingdom,1.25,2010-12,2010-12,0
554124,22963,JAM JAR WITH GREEN LID,12,2011-05-23 08:31:00,0.85,13339,United Kingdom,10.2,2011-05,2011-05,0
545399,22321,BIRD DECORATION RED RETROSPOT,12,2011-03-02 11:48:00,0.85,14934,Channel Islands,10.2,2011-03,2011-03,0
537111,21929,JUMBO BAG PINK VINTAGE PAISLEY,5,2010-12-05 12:08:00,1.95,14810,United Kingdom,9.75,2010-12,2010-12,0
540642,20750,RED RETROSPOT MINI CASES,2,2011-01-10 13:22:00,7.95,12681,France,15.9,2011-01,2010-12,1
573584,84997C,CHILDRENS CUTLERY POLKADOT BLUE,8,2011-10-31 14:36:00,4.15,16705,United Kingdom,33.2,2011-10,2010-12,10
560863,21208,PASTEL COLOUR HONEYCOMB FAN,6,2011-07-21 13:53:00,0.39,12748,United Kingdom,2.34,2011-07,2010-12,7
573264,22382,LUNCH BAG SPACEBOY DESIGN,4,2011-10-28 12:36:00,1.65,14415,United Kingdom,6.6,2011-10,2010-12,10
572552,84569D,PACK 6 HEART/ICE-CREAM PATCHES,2,2011-10-24 17:07:00,2.46,14096,United Kingdom,4.92,2011-10,2011-09,1
