InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
542599,84050,PINK HEART SHAPE EGG FRYING PAN,3,30-01-11 11:01,1.65,17062,United Kingdom
568329,22595,GINGHAM HEART DECORATION,12,26-09-11 14:12,0.85,15243,United Kingdom
549568,84978,HANGING HEART JAR T-LIGHT HOLDER,12,10-04-11 15:09,1.25,15665,United Kingdom
560368,22419,LIPSTICK PEN RED,2,18-07-11 12:25,0.42,17841,United Kingdom
537867,22111,SCOTTIE DOG HOT WATER BOTTLE,6,08-12-10 16:48,4.95,16717,United Kingdom
578040,22948,METAL DECORATION NAUGHTY CHILDREN,4,22-11-11 14:21,0.85,13322,United Kingdom
574839,23539,WALL ART LOVES' SECRET,1,07-11-11 11:40,5.95,15493,United Kingdom
575668,23209,LUNCH BAG VINTAGE DOILY,1,10-11-11 14:59,1.65,18283,United Kingdom
578344,84755,COLOUR GLASS T-LIGHT HOLDER HANGING,8,24-11-11 9:21,1.24,,United Kingdom
576212,23318,BOX OF 6 MINI VINTAGE CRACKERS,6,14-11-11 12:45,2.49,18082,United Kingdom
540816,20914,SET/5 RED RETROSPOT LID GLASS BOWLS,6,11-01-11 12:55,2.95,15518,United Kingdom
547063,84406B,CREAM CUPID HEARTS COAT HANGER,8,20-03-11 13:33,4.15,14769,United Kingdom
541421,22941,CHRISTMAS LIGHTS 10 REINDEER,1,17-01-11 17:44,16.63,,United Kingdom
575907,22268,check,-10,11-11-11 15:52,0,,United Kingdom
553919,21927,BLUE/CREAM STRIPE CUSHION COVER,12,20-05-11 8:41,1.25,17416,United Kingdom
558200,23341,PINK DINER WALL CLOCK,1,27-06-11 13:00,8.5,15976,United Kingdom
547224,84929,ASSTD FRUIT+FLOWERS FRIDGE MAGNETS,12,21-03-11 15:15,0.55,,United Kingdom
569358,23247,BISCUIT TIN 50'S CHRISTMAS,6,03-10-11 14:53,2.89,18257,United Kingdom
576876,85176,SEWING SUSAN 21 NEEDLE SET,1,16-11-11 16:42,0.85,16804,United Kingdom
566291,85014B,RED RETROSPOT UMBRELLA,1,11-09-11 15:31,5.95,12965,United Kingdom
573906,21931,JUMBO STORAGE BAG SUKI,10,01-11-11 15:12,2.08,16458,United Kingdom
578824,22623,BOX OF VINTAGE JIGSAW BLOCKS,1,25-11-11 14:02,5.95,17883,United Kingdom
575086,22187,GREEN CHRISTMAS TREE CARD HOLDER,24,08-11-11 13:52,1.95,16618,United Kingdom
569007,20726,LUNCH BAG WOODLAND,10,29-09-11 18:51,1.65,17552,United Kingdom
547514,22555,PLASTERS IN TIN STRONGMAN,12,23-03-11 14:00,1.65,17486,United Kingdom
552874,21724,PANDA AND BUNNIES STICKER SHEET,12,12-05-11 9:40,0.85,12621,Germany
562457,23308,SET OF 60 VINTAGE LEAF CAKE CASES,24,05-08-11 11:00,0.55,18079,United Kingdom
575739,22423,REGENCY CAKESTAND 3 TIER,1,11-11-11 9:05,24.96,,United Kingdom
558774,23239,SET OF 4 KNICK KNACK TINS POPPIES,1,04-07-11 10:17,8.29,,United Kingdom
548616,21891,TRADITIONAL WOODEN SKIPPING ROPE,24,01-04-11 11:48,1.25,18263,United Kingdom
560434,23133,LARGE IVORY HEART WALL ORGANISER,2,18-07-11 15:56,16.63,,United Kingdom
562711,23031,DRAWER KNOB CRACKLE GLAZE PINK,2,08-08-11 14:53,1.65,16788,United Kingdom
545066,21621,VINTAGE UNION JACK BUNTING,4,27-02-11 14:44,8.5,13610,United Kingdom
548215,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,48,30-03-11 9:19,0.29,15674,United Kingdom
542233,22846,BREAD BIN DINER STYLE RED,8,26-01-11 13:46,14.95,13098,United Kingdom
553036,22524,CHILDRENS GARDEN GLOVES BLUE,12,13-05-11 8:09,1.25,15129,United Kingdom
568367,22666,RECIPE BOX PANTRY YELLOW DESIGN,6,26-09-11 15:51,2.95,15755,United Kingdom
561043,22170,PICTURE FRAME WOOD TRIPLE PORTRAIT,4,24-07-11 12:20,6.75,15708,United Kingdom
563697,21929,JUMBO BAG PINK VINTAGE PAISLEY,2,18-08-11 13:44,2.08,16813,United Kingdom
536437,17021,NAMASTE SWAGAT INCENSE,600,01-12-10 12:12,0.24,13694,United Kingdom
564856,22894,TABLECLOTH RED APPLES DESIGN,10,31-08-11 9:11,9.95,12477,Germany
579689,21340,CLASSIC METAL BIRDCAGE PLANT HOLDER,1,30-11-11 14:00,12.75,14606,United Kingdom
576840,48116,DOORMAT MULTICOLOUR STRIPE,1,16-11-11 15:23,15.79,,United Kingdom
566345,22613,PACK OF 20 SPACEBOY NAPKINS,6,12-09-11 12:27,0.85,17685,United Kingdom
559693,21206,STRAWBERRY HONEYCOMB  GARLAND,1,11-07-11 16:21,1.63,,United Kingdom
551822,21642,ASSORTED TUTTI FRUTTI PEN,48,04-05-11 12:26,0.85,13524,United Kingdom
578357,17012C,ORIGAMI LAVENDER INCENSE/CANDL SET,18,24-11-11 10:24,0.85,17228,United Kingdom
576690,22469,HEART OF WICKER SMALL,4,16-11-11 12:19,1.65,15900,United Kingdom
544088,22607,WOODEN ROUNDERS GARDEN SET,1,15-02-11 17:18,9.95,,United Kingdom
548162,22896,PEG BAG APPLES DESIGN,4,29-03-11 13:42,5.79,,United Kingdom
538378,22374,AIRLINE BAG VINTAGE JET SET RED,2,12-12-10 11:26,4.25,14577,United Kingdom
576851,22153,ANGEL DECORATION STARS ON DRESS,3,16-11-11 15:41,0.42,15967,United Kingdom
550636,21191,LARGE WHITE HONEYCOMB PAPER BELL,2,19-04-11 15:37,4.13,,United Kingdom
559687,85184C,SET 4 VALENTINE DECOUPAGE HEART BOX,1,11-07-11 15:28,2.95,17966,United Kingdom
564825,82483,WOOD 2 DRAWER CABINET WHITE FINISH,3,30-08-11 12:26,6.95,,United Kingdom
577052,22111,SCOTTIE DOG HOT WATER BOTTLE,1,17-11-11 14:08,4.95,17397,United Kingdom
571433,22191,IVORY DINER WALL CLOCK,2,17-10-11 13:19,8.5,13015,United Kingdom
545897,22619,SET OF 6 SOLDIER SKITTLES,1,07-03-11 17:22,7.46,,United Kingdom
539988,21358,TOAST ITS - HAPPY BIRTHDAY,1,23-12-10 16:06,1.25,18116,United Kingdom
566076,22549,PICTURE DOMINOES,12,09-09-11 9:13,1.45,12449,Belgium
546891,85204,HANGING WOOD AND FELT FLOWER,2,17-03-11 18:18,0.42,,United Kingdom
543370,22556,PLASTERS IN TIN CIRCUS PARADE,12,07-02-11 14:51,1.65,12359,Cyprus
572309,22286,DECORATION WOBBLY RABBIT METAL,1,23-10-11 15:29,0.39,14432,United Kingdom
C558434,22699,ROSES REGENCY TEACUP AND SAUCER,-2,29-06-11 12:36,2.95,15304,United Kingdom
581146,20973,12 PENCIL SMALL TUBE WOODLAND,8,07-12-11 13:53,0.65,17602,United Kingdom
554651,22170,PICTURE FRAME WOOD TRIPLE PORTRAIT,4,25-05-11 12:55,6.75,12779,Poland
569651,22737,RIBBON REEL CHRISTMAS PRESENT,5,05-10-11 12:49,1.65,14534,United Kingdom
567850,23268,SET OF 2 CERAMIC CHRISTMAS REINDEER,12,22-09-11 13:18,1.45,15067,United Kingdom
541508,22766,PHOTO FRAME CORNICE,1,18-01-11 16:06,5.79,,United Kingdom
552514,85150,LADIES & GENTLEMEN METAL SIGN,2,09-05-11 16:30,4.96,,United Kingdom
570116,22301,COFFEE MUG CAT + BIRD DESIGN,2,07-10-11 12:38,2.55,12856,United Kingdom
555558,22664,TOY TIDY DOLLY GIRL DESIGN,2,05-06-11 14:06,2.1,14159,United Kingdom
537399,22965,3 TRADITIONAl BISCUIT CUTTERS  SET,1,06-12-10 14:31,2.1,13030,United Kingdom
573151,22551,PLASTERS IN TIN SPACEBOY,4,27-10-11 20:09,1.65,17602,United Kingdom
545333,22746,POPPY'S PLAYHOUSE LIVINGROOM,2,01-03-11 16:22,4.13,,United Kingdom
537434,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,9,06-12-10 16:57,7.62,,United Kingdom
555638,23106,ZINC HEARTS PLANT POT HOLDER,8,06-06-11 12:51,2.89,15150,United Kingdom
561006,47599A,PINK PARTY BAGS,6,22-07-11 15:02,2.1,16161,United Kingdom
541782,22355,CHARLOTTE BAG SUKI DESIGN,10,21-01-11 11:50,0.85,13102,United Kingdom
565845,23203,JUMBO BAG VINTAGE DOILY,30,07-09-11 12:21,2.08,14709,United Kingdom
547960,21890,S/6 WOODEN SKITTLES IN COTTON BAG,1,28-03-11 15:27,2.95,15644,United Kingdom
538071,90093,CLEAR CRYSTAL STAR PHONE CHARM,1,09-12-10 14:09,1.66,,United Kingdom
552659,22775,PURPLE DRAWERKNOB ACRYLIC EDWARDIAN,11,10-05-11 15:03,2.46,,United Kingdom
554016,23254,CHILDRENS CUTLERY DOLLY GIRL,4,20-05-11 13:14,4.15,13243,United Kingdom
570414,22835,HOT WATER BOTTLE I AM SO POORLY,4,10-10-11 13:17,4.95,17214,United Kingdom
578065,17084N,FAIRY DREAMS INCENSE,18,22-11-11 15:41,0.42,,United Kingdom
566561,23551,PACK OF 12 PAISLEY PARK TISSUES,24,13-09-11 12:13,0.39,18145,United Kingdom
537852,22456,NATURAL SLATE CHALKBOARD LARGE,12,08-12-10 15:56,4.95,17340,United Kingdom
544083,84378,SET OF 3 HEART COOKIE CUTTERS,12,15-02-11 15:51,1.25,15606,United Kingdom
555245,23200,JUMBO BAG PEARS,1,01-06-11 14:12,2.08,14800,United Kingdom
568994,23559,WOODLAND BUNNIES LOLLY MAKERS,6,29-09-11 16:52,2.08,12598,France
557485,85099F,JUMBO BAG STRAWBERRY,400,20-06-11 14:38,1.79,15769,United Kingdom
572303,23424,GINGHAM RECIPE BOOK BOX,8,23-10-11 14:56,4.95,18109,United Kingdom
579413,82486,3 DRAWER ANTIQUE WHITE WOOD CABINET,2,29-11-11 12:50,8.95,13668,United Kingdom
573551,22470,HEART OF WICKER LARGE,3,31-10-11 13:35,2.95,15044,United Kingdom
542998,21428,SET3 BOOK BOX GREEN GINGHAM FLOWER,1,02-02-11 12:16,8.29,,United Kingdom
568202,23548,WRAP MAGIC FOREST,25,25-09-11 15:01,0.42,15366,United Kingdom
566010,22572,ROCKING HORSE GREEN CHRISTMAS,6,08-09-11 12:05,0.85,13700,United Kingdom
547327,23052,RECYCLED ACAPULCO MAT TURQUOISE,2,22-03-11 11:28,8.25,12681,France
541265,22661,CHARLOTTE BAG DOLLY GIRL DESIGN,1,16-01-11 16:23,0.85,17609,United Kingdom
558092,22656,VINTAGE BLUE KITCHEN CABINET,1,26-06-11 12:54,125,14808,United Kingdom
C556896,21900,"KEY FOB , SHED",-4,15-06-11 12:51,0.65,12843,United Kingdom
544089,21977,PACK OF 60 PINK PAISLEY CAKE CASES,1,15-02-11 17:51,1.25,,United Kingdom
576840,21200,MULTICOLOUR HONEYCOMB PAPER GARLAND,4,16-11-11 15:23,3.29,,United Kingdom
576840,21494,ROTATING LEAVES T-LIGHT HOLDER,3,16-11-11 15:23,2.46,,United Kingdom
567379,22469,HEART OF WICKER SMALL,40,20-09-11 10:02,1.45,13089,United Kingdom
567164,48188,DOORMAT WELCOME PUPPIES,1,18-09-11 11:51,8.25,14487,United Kingdom
537240,21281,VINTAGE KITCHEN PRINT SEAFOOD,1,06-12-10 10:08,5.06,,United Kingdom
566301,82552,WASHROOM METAL SIGN,2,11-09-11 16:06,1.45,16474,United Kingdom
579531,23328,SET 6 SCHOOL MILK BOTTLES IN CRATE,24,30-11-11 9:18,3.39,17017,United Kingdom
558475,21993,FLORAL FOLK STATIONERY SET,5,29-06-11 15:58,2.46,,United Kingdom
574234,23426,METAL SIGN DROP YOUR PANTS,6,03-11-11 12:28,2.89,15271,United Kingdom
563076,22630,DOLLY GIRL LUNCH BOX,320,11-08-11 16:12,1.65,14646,Netherlands
545059,22507,MEMO BOARD RETROSPOT  DESIGN,4,27-02-11 13:04,4.95,14157,United Kingdom
536544,21722,SWEET PUDDING STICKER SHEET,1,01-12-10 14:32,1.66,,United Kingdom
558751,22993,SET OF 4 PANTRY JELLY MOULDS,12,03-07-11 11:26,1.25,16009,United Kingdom
543658,20723,STRAWBERRY CHARLOTTE BAG,30,11-02-11 10:38,0.85,13819,United Kingdom
577604,22081,RIBBON REEL FLORA + FAUNA,10,21-11-11 8:57,1.65,14300,United Kingdom
548166,21928,JUMBO BAG SCANDINAVIAN BLUE PAISLEY,2,29-03-11 13:45,4.13,,United Kingdom
558768,21534,DAIRY MAID LARGE MILK JUG,2,03-07-11 13:33,4.95,15952,United Kingdom
538843,22637,PIGGY BANK RETROSPOT,2,14-12-10 13:18,2.55,16033,United Kingdom
566290,23190,BUNDLE OF 3 SCHOOL EXERCISE BOOKS,1,11-09-11 15:24,1.65,14456,United Kingdom
565481,22624,IVORY KITCHEN SCALES,2,05-09-11 11:31,8.5,16891,United Kingdom
568833,21034,REX CASH+CARRY JUMBO SHOPPER,4,29-09-11 11:39,0.95,17348,United Kingdom
544788,21669,BLUE STRIPE CERAMIC DRAWER KNOB,12,23-02-11 12:18,1.25,13089,United Kingdom
539201,37446,MINI CAKE STAND WITH HANGING CAKES,8,16-12-10 12:11,1.45,14878,United Kingdom
567968,22578,WOODEN STAR CHRISTMAS SCANDINAVIAN,12,23-09-11 9:44,0.85,12546,Spain
571406,23436,GIFT BAG LARGE VINTAGE CHRISTMAS,12,17-10-11 12:12,1.25,13871,United Kingdom
570872,84596B,SMALL DOLLY MIX DESIGN ORANGE BOWL,10,12-10-11 16:40,0.83,,United Kingdom
573585,20675,BLUE POLKADOT BOWL,1,31-10-11 14:41,2.46,,United Kingdom
580397,84947,ANTIQUE SILVER TEA GLASS ENGRAVED,3,04-12-11 11:24,1.25,13558,United Kingdom
556263,23298,SPOTTY BUNTING,4,09-06-11 18:41,4.95,13969,United Kingdom
547248,22478,BIRDHOUSE GARDEN MARKER,1,22-03-11 9:23,2.46,,United Kingdom
561502,84378,SET OF 3 HEART COOKIE CUTTERS,12,27-07-11 14:14,1.25,14305,United Kingdom
547969,20674,GREEN POLKADOT BOWL,4,28-03-11 16:27,1.25,17238,United Kingdom
546569,84970S,HANGING HEART ZINC T-LIGHT HOLDER,12,15-03-11 10:53,0.85,14016,EIRE
570197,46776A,WOVEN BUBBLE GUM CUSHION COVER,1,07-10-11 15:45,4.95,13755,United Kingdom
545315,84969,BOX OF 6 ASSORTED COLOUR TEASPOONS,1,01-03-11 14:14,8.29,,United Kingdom
545337,22070,SMALL RED RETROSPOT MUG IN BOX,2,01-03-11 17:28,3.75,15984,United Kingdom
578827,23265,SET OF 3 WOODEN TREE DECORATIONS,2,25-11-11 14:25,2.46,,United Kingdom
559816,23141,TRIPLE WIRE HOOK PINK HEART,1,12-07-11 16:11,4.13,,United Kingdom
579288,90206C,CRYSTAL DIAMANTE STAR BROOCH,1,29-11-11 11:05,4.95,17772,United Kingdom
574532,85025B,EAU DE NILE HEART SHAPE PHOTO FRAME,24,04-11-11 14:19,1.65,15676,United Kingdom
557938,22268,DECORATION SITTING BUNNY,4,23-06-11 15:35,0.63,,United Kingdom
541568,22371,AIRLINE BAG VINTAGE TOKYO 78,12,19-01-11 12:07,3.75,15606,United Kingdom
544278,22630,DOLLY GIRL LUNCH BOX,12,17-02-11 12:01,1.95,15382,United Kingdom
553162,21519,GIN & TONIC DIET GREETING CARD,1,13-05-11 15:53,0.83,,United Kingdom
544798,21754,HOME BUILDING BLOCK WORD,3,23-02-11 13:44,5.95,17063,United Kingdom
C574238,D,Discount,-1,03-11-11 12:39,11.84,13408,United Kingdom
551467,22178,VICTORIAN GLASS HANGING T-LIGHT,12,28-04-11 16:20,1.25,12600,Germany
541417,22291,HANGING CHICK CREAM DECORATION,4,17-01-11 16:23,1.45,16033,United Kingdom
547552,21169,YOU'RE CONFUSING ME METAL SIGN,1,23-03-11 15:55,4.13,,United Kingdom
545148,22251,BIRDHOUSE DECORATION MAGIC GARDEN,12,28-02-11 12:14,1.25,13675,United Kingdom
552232,85093,CANDY SPOT EGG WARMER HARE,2,06-05-11 15:54,0.83,,United Kingdom
550723,22386,JUMBO BAG PINK POLKADOT,10,20-04-11 11:19,2.08,17454,United Kingdom
559816,21801,CHRISTMAS TREE DECORATION WITH BELL,1,12-07-11 16:11,0.42,,United Kingdom
574011,22470,HEART OF WICKER LARGE,6,02-11-11 11:52,2.95,16884,United Kingdom
559055,22215,CAKE STAND WHITE TWO TIER LACE,1,05-07-11 17:09,16.63,,United Kingdom
580729,22077,6 RIBBONS RUSTIC CHARM,3,05-12-11 17:24,4.13,,United Kingdom
541963,84050,PINK HEART SHAPE EGG FRYING PAN,2,24-01-11 13:06,1.65,17799,United Kingdom
554711,21559,STRAWBERRY LUNCH BOX WITH CUTLERY,6,26-05-11 10:41,2.55,12654,Germany
549991,22725,ALARM CLOCK BAKELIKE CHOCOLATE,8,14-04-11 8:13,3.75,18229,United Kingdom
559064,22197,POPCORN HOLDER,12,06-07-11 10:15,0.85,15673,United Kingdom
581492,22307,GOLD MUG BONE CHINA TREE OF LIFE,1,09-12-11 10:03,8.29,,United Kingdom
580730,84378,SET OF 3 HEART COOKIE CUTTERS,3,05-12-11 17:28,2.46,,United Kingdom
566603,82484,WOOD BLACK BOARD ANT WHITE FINISH,2,13-09-11 16:12,16.63,,United Kingdom
574741,21625,VINTAGE UNION JACK APRON,2,06-11-11 16:13,6.95,15993,United Kingdom
544637,22262,FELT EGG COSY CHICKEN,24,22-02-11 11:20,0.85,16546,United Kingdom
574744,22467,GUMBALL COAT RACK,6,07-11-11 7:38,2.55,16612,United Kingdom
554549,22430,ENAMEL WATERING CAN CREAM,4,25-05-11 9:57,4.95,12747,United Kingdom
568480,22485,SET OF 2 WOODEN MARKET CRATES,12,27-09-11 11:52,10.95,17490,United Kingdom
575075,23342,MINT DINER WALL CLOCK,1,08-11-11 13:19,8.5,13975,United Kingdom
566296,23391,I LOVE LONDON MINI BACKPACK,1,11-09-11 15:47,4.15,17841,United Kingdom
551516,22433,WATERING CAN GREEN DINOSAUR,3,01-05-11 11:10,1.95,14800,United Kingdom
580983,22978,PANTRY ROLLING PIN,1,06-12-11 16:26,7.46,,United Kingdom
538379,22966,GINGERBREAD MAN COOKIE CUTTER,1,12-12-10 11:26,1.25,17126,United Kingdom
554124,22963,JAM JAR WITH GREEN LID,12,23-05-11 8:31,0.85,13339,United Kingdom
545399,22321,BIRD DECORATION RED RETROSPOT,12,02-03-11 11:48,0.85,14934,Channel Islands
537111,21929,JUMBO BAG PINK VINTAGE PAISLEY,5,05-12-10 12:08,1.95,14810,United Kingdom
540642,20750,RED RETROSPOT MINI CASES,2,10-01-11 13:22,7.95,12681,France
573584,84997C,CHILDRENS CUTLERY POLKADOT BLUE,8,31-10-11 14:36,4.15,16705,United Kingdom
560863,21208,PASTEL COLOUR HONEYCOMB FAN,6,21-07-11 13:53,0.39,12748,United Kingdom
573264,22382,LUNCH BAG SPACEBOY DESIGN,4,28-10-11 12:36,1.65,14415,United Kingdom
541871,20685,DOORMAT RED RETROSPOT,3,24-01-11 9:41,7.46,,United Kingdom
577768,23208,LUNCH BAG VINTAGE LEAF DESIGN,3,21-11-11 15:18,4.13,,United Kingdom
572552,84569D,PACK 6 HEART/ICE-CREAM PATCHES,2,24-10-11 17:07,2.46,14096,United Kingdom
C578073,M,Manual,-36,22-11-11 16:02,0.32,18139,United Kingdom
560385,21385,IVORY HANGING DECORATION  HEART,3,18-07-11 12:53,0.85,14583,United Kingdom
556189,22776,SWEETHEART CAKESTAND 3 TIER,1,09-06-11 11:57,9.95,15615,United Kingdom
571409,23118,PARISIENNE JEWELLERY DRAWER,2,17-10-11 12:25,7.5,14911,EIRE
537395,22911,PAPER CHAIN KIT LONDON,1,06-12-10 14:05,2.95,15356,United Kingdom
545914,22505,MEMO BOARD COTTAGE DESIGN,24,08-03-11 11:39,4.25,13340,United Kingdom
564346,22097,SWALLOW SQUARE TISSUE BOX,4,24-08-11 14:54,0.39,15727,United Kingdom
