"InvoiceNo","StockCode","Description","Quantity","InvoiceDate","UnitPrice","CustomerID","Country","Revenue"
"544790","20726","LUNCH BAG WOODLAND",6,"23-02-11 12:27",1.65,"16940","United Kingdom",9.9
"542599","84050","PINK HEART SHAPE EGG FRYING PAN",3,"30-01-11 11:01",1.65,"17062","United Kingdom",4.95
"568329","22595","GINGHAM HEART DECORATION",12,"26-09-11 14:12",0.85,"15243","United Kingdom",10.2
"549568","84978","HANGING HEART JAR T-LIGHT HOLDER",12,"10-04-11 15:09",1.25,"15665","United Kingdom",15.0
"560368","22419","LIPSTICK PEN RED",2,"18-07-11 12:25",0.42,"17841","United Kingdom",0.84
"537867","22111","SCOTTIE DOG HOT WATER BOTTLE",6,"08-12-10 16:48",4.95,"16717","United Kingdom",29.7
"578040","22948","METAL DECORATION NAUGHTY CHILDREN",4,"22-11-11 14:21",0.85,"13322","United Kingdom",3.4
"574839","23539","WALL ART LOVES' SECRET",1,"07-11-11 11:40",5.95,"15493","United Kingdom",5.95
"575668","23209","LUNCH BAG VINTAGE DOILY",1,"10-11-11 14:59",1.65,"18283","United Kingdom",1.65
"576212","23318","BOX OF 6 MINI VINTAGE CRACKERS",6,"14-11-11 12:45",2.49,"18082","United Kingdom",14.94
"540816","20914","SET/5 RED RETROSPOT LID GLASS BOWLS",6,"11-01-11 12:55",2.95,"15518","United Kingdom",17.7
"547063","84406B","CREAM CUPID HEARTS COAT HANGER",8,"20-03-11 13:33",4.15,"14769","United Kingdom",33.2
"553919","21927","BLUE/CREAM STRIPE CUSHION COVER",12,"20-05-11 8:41",1.25,"17416","United Kingdom",15.0
"558200","23341","PINK DINER WALL CLOCK",1,"27-06-11 13:00",8.5,"15976","United Kingdom",8.5
"569358","23247","BISCUIT TIN 50'S CHRISTMAS",6,"03-10-11 14:53",2.89,"18257","United Kingdom",17.34
"576876","85176","SEWING SUSAN 21 NEEDLE SET",1,"16-11-11 16:42",0.85,"16804","United Kingdom",0.85
"566291","85014B","RED RETROSPOT UMBRELLA",1,"11-09-11 15:31",5.95,"12965","United Kingdom",5.95
"573906","21931","JUMBO STORAGE BAG SUKI",10,"01-11-11 15:12",2.08,"16458","United Kingdom",20.8
"578824","22623","BOX OF VINTAGE JIGSAW BLOCKS",1,"25-11-11 14:02",5.95,"17883","United Kingdom",5.95
"575086","22187","GREEN CHRISTMAS TREE CARD HOLDER",24,"08-11-11 13:52",1.95,"16618","United Kingdom",46.8
"569007","20726","LUNCH BAG WOODLAND",10,"29-09-11 18:51",1.65,"17552","United Kingdom",16.5
"547514","22555","PLASTERS IN TIN STRONGMAN",12,"23-03-11 14:00",1.65,"17486","United Kingdom",19.8
"552874","21724","PANDA AND BUNNIES STICKER SHEET",12,"12-05-11 9:40",0.85,"12621","Germany",10.2
"562457","23308","SET OF 60 VINTAGE LEAF CAKE CASES",24,"05-08-11 11:00",0.55,"18079","United Kingdom",13.2
"548616","21891","TRADITIONAL WOODEN SKIPPING ROPE",24,"01-04-11 11:48",1.25,"18263","United Kingdom",30.0
"562711","23031","DRAWER KNOB CRACKLE GLAZE PINK",2,"08-08-11 14:53",1.65,"16788","United Kingdom",3.3
"545066","21621","VINTAGE UNION JACK BUNTING",4,"27-02-11 14:44",8.5,"13610","United Kingdom",34.0
"548215","84077","WORLD WAR 2 GLIDERS ASSTD DESIGNS",48,"30-03-11 9:19",0.29,"15674","United Kingdom",13.92
"542233","22846","BREAD BIN DINER STYLE RED",8,"26-01-11 13:46",14.95,"13098","United Kingdom",119.6
"553036","22524","CHILDRENS GARDEN GLOVES BLUE",12,"13-05-11 8:09",1.25,"15129","United Kingdom",15.0
"568367","22666","RECIPE BOX PANTRY YELLOW DESIGN",6,"26-09-11 15:51",2.95,"15755","United Kingdom",17.7
"561043","22170","PICTURE FRAME WOOD TRIPLE PORTRAIT",4,"24-07-11 12:20",6.75,"15708","United Kingdom",27.0
"563697","21929","JUMBO BAG PINK VINTAGE PAISLEY",2,"18-08-11 13:44",2.08,"16813","United Kingdom",4.16
"536437","17021","NAMASTE SWAGAT INCENSE",600,"01-12-10 12:12",0.24,"13694","United Kingdom",144.0
"564856","22894","TABLECLOTH RED APPLES DESIGN",10,"31-08-11 9:11",9.95,"12477","Germany",99.5
"579689","21340","CLASSIC METAL BIRDCAGE PLANT HOLDER",1,"30-11-11 14:00",12.75,"14606","United Kingdom",12.75
"566345","22613","PACK OF 20 SPACEBOY NAPKINS",6,"12-09-11 12:27",0.85,"17685","United Kingdom",5.1
"551822","21642","ASSORTED TUTTI FRUTTI PEN",48,"04-05-11 12:26",0.85,"13524","United Kingdom",40.8
"578357","17012C","ORIGAMI LAVENDER INCENSE/CANDL SET",18,"24-11-11 10:24",0.85,"17228","United Kingdom",15.3
"576690","22469","HEART OF WICKER SMALL",4,"16-11-11 12:19",1.65,"15900","United Kingdom",6.6
"538378","22374","AIRLINE BAG VINTAGE JET SET RED",2,"12-12-10 11:26",4.25,"14577","United Kingdom",8.5
"576851","22153","ANGEL DECORATION STARS ON DRESS",3,"16-11-11 15:41",0.42,"15967","United Kingdom",1.26
"559687","85184C","SET 4 VALENTINE DECOUPAGE HEART BOX",1,"11-07-11 15:28",2.95,"17966","United Kingdom",2.95
"577052","22111","SCOTTIE DOG HOT WATER BOTTLE",1,"17-11-11 14:08",4.95,"17397","United Kingdom",4.95
"571433","22191","IVORY DINER WALL CLOCK",2,"17-10-11 13:19",8.5,"13015","United Kingdom",17.0
"539988","21358","TOAST ITS - HAPPY BIRTHDAY",1,"23-12-10 16:06",1.25,"18116","United Kingdom",1.25
"566076","22549","PICTURE DOMINOES",12,"09-09-11 9:13",1.45,"12449","Belgium",17.4
"543370","22556","PLASTERS IN TIN CIRCUS PARADE",12,"07-02-11 14:51",1.65,"12359","Cyprus",19.8
"572309","22286","DECORATION WOBBLY RABBIT METAL",1,"23-10-11 15:29",0.39,"14432","United Kingdom",0.39
"581146","20973","12 PENCIL SMALL TUBE WOODLAND",8,"07-12-11 13:53",0.65,"17602","United Kingdom",5.2
"554651","22170","PICTURE FRAME WOOD TRIPLE PORTRAIT",4,"25-05-11 12:55",6.75,"12779","Poland",27.0
"569651","22737","RIBBON REEL CHRISTMAS PRESENT",5,"05-10-11 12:49",1.65,"14534","United Kingdom",8.25
"567850","23268","SET OF 2 CERAMIC CHRISTMAS REINDEER",12,"22-09-11 13:18",1.45,"15067","United Kingdom",17.4
"570116","22301","COFFEE MUG CAT + BIRD DESIGN",2,"07-10-11 12:38",2.55,"12856","United Kingdom",5.1
"555558","22664","TOY TIDY DOLLY GIRL DESIGN",2,"05-06-11 14:06",2.1,"14159","United Kingdom",4.2
"537399","22965","3 TRADITIONAl BISCUIT CUTTERS  SET",1,"06-12-10 14:31",2.1,"13030","United Kingdom",2.1
"573151","22551","PLASTERS IN TIN SPACEBOY",4,"27-10-11 20:09",1.65,"17602","United Kingdom",6.6
"555638","23106","ZINC HEARTS PLANT POT HOLDER",8,"06-06-11 12:51",2.89,"15150","United Kingdom",23.12
"561006","47599A","PINK PARTY BAGS",6,"22-07-11 15:02",2.1,"16161","United Kingdom",12.6
"541782","22355","CHARLOTTE BAG SUKI DESIGN",10,"21-01-11 11:50",0.85,"13102","United Kingdom",8.5
"565845","23203","JUMBO BAG VINTAGE DOILY",30,"07-09-11 12:21",2.08,"14709","United Kingdom",62.4
"547960","21890","S/6 WOODEN SKITTLES IN COTTON BAG",1,"28-03-11 15:27",2.95,"15644","United Kingdom",2.95
"554016","23254","CHILDRENS CUTLERY DOLLY GIRL",4,"20-05-11 13:14",4.15,"13243","United Kingdom",16.6
"570414","22835","HOT WATER BOTTLE I AM SO POORLY",4,"10-10-11 13:17",4.95,"17214","United Kingdom",19.8
"566561","23551","PACK OF 12 PAISLEY PARK TISSUES",24,"13-09-11 12:13",0.39,"18145","United Kingdom",9.36
"537852","22456","NATURAL SLATE CHALKBOARD LARGE",12,"08-12-10 15:56",4.95,"17340","United Kingdom",59.4
"544083","84378","SET OF 3 HEART COOKIE CUTTERS",12,"15-02-11 15:51",1.25,"15606","United Kingdom",15.0
"555245","23200","JUMBO BAG PEARS",1,"01-06-11 14:12",2.08,"14800","United Kingdom",2.08
"568994","23559","WOODLAND BUNNIES LOLLY MAKERS",6,"29-09-11 16:52",2.08,"12598","France",12.48
"557485","85099F","JUMBO BAG STRAWBERRY",400,"20-06-11 14:38",1.79,"15769","United Kingdom",716.0
"572303","23424","GINGHAM RECIPE BOOK BOX",8,"23-10-11 14:56",4.95,"18109","United Kingdom",39.6
"579413","82486","3 DRAWER ANTIQUE WHITE WOOD CABINET",2,"29-11-11 12:50",8.95,"13668","United Kingdom",17.9
"573551","22470","HEART OF WICKER LARGE",3,"31-10-11 13:35",2.95,"15044","United Kingdom",8.85
"568202","23548","WRAP MAGIC FOREST",25,"25-09-11 15:01",0.42,"15366","United Kingdom",10.5
"566010","22572","ROCKING HORSE GREEN CHRISTMAS",6,"08-09-11 12:05",0.85,"13700","United Kingdom",5.1
"547327","23052","RECYCLED ACAPULCO MAT TURQUOISE",2,"22-03-11 11:28",8.25,"12681","France",16.5
"541265","22661","CHARLOTTE BAG DOLLY GIRL DESIGN",1,"16-01-11 16:23",0.85,"17609","United Kingdom",0.85
"558092","22656","VINTAGE BLUE KITCHEN CABINET",1,"26-06-11 12:54",125.0,"14808","United Kingdom",125.0
"567379","22469","HEART OF WICKER SMALL",40,"20-09-11 10:02",1.45,"13089","United Kingdom",58.0
"567164","48188","DOORMAT WELCOME PUPPIES",1,"18-09-11 11:51",8.25,"14487","United Kingdom",8.25
"566301","82552","WASHROOM METAL SIGN",2,"11-09-11 16:06",1.45,"16474","United Kingdom",2.9
"579531","23328","SET 6 SCHOOL MILK BOTTLES IN CRATE",24,"30-11-11 9:18",3.39,"17017","United Kingdom",81.36
"574234","23426","METAL SIGN DROP YOUR PANTS",6,"03-11-11 12:28",2.89,"15271","United Kingdom",17.34
"563076","22630","DOLLY GIRL LUNCH BOX",320,"11-08-11 16:12",1.65,"14646","Netherlands",528.0
"545059","22507","MEMO BOARD RETROSPOT  DESIGN",4,"27-02-11 13:04",4.95,"14157","United Kingdom",19.8
"558751","22993","SET OF 4 PANTRY JELLY MOULDS",12,"03-07-11 11:26",1.25,"16009","United Kingdom",15.0
"543658","20723","STRAWBERRY CHARLOTTE BAG",30,"11-02-11 10:38",0.85,"13819","United Kingdom",25.5
"577604","22081","RIBBON REEL FLORA + FAUNA",10,"21-11-11 8:57",1.65,"14300","United Kingdom",16.5
"558768","21534","DAIRY MAID LARGE MILK JUG",2,"03-07-11 13:33",4.95,"15952","United Kingdom",9.9
"538843","22637","PIGGY BANK RETROSPOT",2,"14-12-10 13:18",2.55,"16033","United Kingdom",5.1
"566290","23190","BUNDLE OF 3 SCHOOL EXERCISE BOOKS",1,"11-09-11 15:24",1.65,"14456","United Kingdom",1.65
"565481","22624","IVORY KITCHEN SCALES",2,"05-09-11 11:31",8.5,"16891","United Kingdom",17.0
"568833","21034","REX CASH+CARRY JUMBO SHOPPER",4,"29-09-11 11:39",0.95,"17348","United Kingdom",3.8
"544788","21669","BLUE STRIPE CERAMIC DRAWER KNOB",12,"23-02-11 12:18",1.25,"13089","United Kingdom",15.0
"539201","37446","MINI CAKE STAND WITH HANGING CAKES",8,"16-12-10 12:11",1.45,"14878","United Kingdom",11.6
"567968","22578","WOODEN STAR CHRISTMAS SCANDINAVIAN",12,"23-09-11 9:44",0.85,"12546","Spain",10.2
"571406","23436","GIFT BAG LARGE VINTAGE CHRISTMAS",12,"17-10-11 12:12",1.25,"13871","United Kingdom",15.0
"580397","84947","ANTIQUE SILVER TEA GLASS ENGRAVED",3,"04-12-11 11:24",1.25,"13558","United Kingdom",3.75
"556263","23298","SPOTTY BUNTING",4,"09-06-11 18:41",4.95,"13969","United Kingdom",19.8
"561502","84378","SET OF 3 HEART COOKIE CUTTERS",12,"27-07-11 14:14",1.25,"14305","United Kingdom",15.0
"547969","20674","GREEN POLKADOT BOWL",4,"28-03-11 16:27",1.25,"17238","United Kingdom",5.0
"546569","84970S","HANGING HEART ZINC T-LIGHT HOLDER",12,"15-03-11 10:53",0.85,"14016","EIRE",10.2
"570197","46776A","WOVEN BUBBLE GUM CUSHION COVER",1,"07-10-11 15:45",4.95,"13755","United Kingdom",4.95
"545337","22070","SMALL RED RETROSPOT MUG IN BOX",2,"01-03-11 17:28",3.75,"15984","United Kingdom",7.5
"579288","90206C","CRYSTAL DIAMANTE STAR BROOCH",1,"29-11-11 11:05",4.95,"17772","United Kingdom",4.95
"574532","85025B","EAU DE NILE HEART SHAPE PHOTO FRAME",24,"04-11-11 14:19",1.65,"15676","United Kingdom",39.6
"541568","22371","AIRLINE BAG VINTAGE TOKYO 78",12,"19-01-11 12:07",3.75,"15606","United Kingdom",45.0
"544278","22630","DOLLY GIRL LUNCH BOX",12,"17-02-11 12:01",1.95,"15382","United Kingdom",23.4
"544798","21754","HOME BUILDING BLOCK WORD",3,"23-02-11 13:44",5.95,"17063","United Kingdom",17.85
"551467","22178","VICTORIAN GLASS HANGING T-LIGHT",12,"28-04-11 16:20",1.25,"12600","Germany",15.0
"541417","22291","HANGING CHICK CREAM DECORATION",4,"17-01-11 16:23",1.45,"16033","United Kingdom",5.8
"545148","22251","BIRDHOUSE DECORATION MAGIC GARDEN",12,"28-02-11 12:14",1.25,"13675","United Kingdom",15.0
"550723","22386","JUMBO BAG PINK POLKADOT",10,"20-04-11 11:19",2.08,"17454","United Kingdom",20.8
"574011","22470","HEART OF WICKER LARGE",6,"02-11-11 11:52",2.95,"16884","United Kingdom",17.7
"541963","84050","PINK HEART SHAPE EGG FRYING PAN",2,"24-01-11 13:06",1.65,"17799","United Kingdom",3.3
"554711","21559","STRAWBERRY LUNCH BOX WITH CUTLERY",6,"26-05-11 10:41",2.55,"12654","Germany",15.3
"549991","22725","ALARM CLOCK BAKELIKE CHOCOLATE",8,"14-04-11 8:13",3.75,"18229","United Kingdom",30.0
"559064","22197","POPCORN HOLDER",12,"06-07-11 10:15",0.85,"15673","United Kingdom",10.2
"574741","21625","VINTAGE UNION JACK APRON",2,"06-11-11 16:13",6.95,"15993","United Kingdom",13.9
"544637","22262","FELT EGG COSY CHICKEN",24,"22-02-11 11:20",0.85,"16546","United Kingdom",20.4
"574744","22467","GUMBALL COAT RACK",6,"07-11-11 7:38",2.55,"16612","United Kingdom",15.3
"554549","22430","ENAMEL WATERING CAN CREAM",4,"25-05-11 9:57",4.95,"12747","United Kingdom",19.8
"568480","22485","SET OF 2 WOODEN MARKET CRATES",12,"27-09-11 11:52",10.95,"17490","United Kingdom",131.4
"575075","23342","MINT DINER WALL CLOCK",1,"08-11-11 13:19",8.5,"13975","United Kingdom",8.5
"566296","23391","I LOVE LONDON MINI BACKPACK",1,"11-09-11 15:47",4.15,"17841","United Kingdom",4.15
"551516","22433","WATERING CAN GREEN DINOSAUR",3,"01-05-11 11:10",1.95,"14800","United Kingdom",5.85
"538379","22966","GINGERBREAD MAN COOKIE CUTTER",1,"12-12-10 11:26",1.25,"17126","United Kingdom",1.25
"554124","22963","JAM JAR WITH GREEN LID",12,"23-05-11 8:31",0.85,"13339","United Kingdom",10.2
"545399","22321","BIRD DECORATION RED RETROSPOT",12,"02-03-11 11:48",0.85,"14934","Channel Islands",10.2
"537111","21929","JUMBO BAG PINK VINTAGE PAISLEY",5,"05-12-10 12:08",1.95,"14810","United Kingdom",9.75
"540642","20750","RED RETROSPOT MINI CASES",2,"10-01-11 13:22",7.95,"12681","France",15.9
"573584","84997C","CHILDRENS CUTLERY POLKADOT BLUE",8,"31-10-11 14:36",4.15,"16705","United Kingdom",33.2
"560863","21208","PASTEL COLOUR HONEYCOMB FAN",6,"21-07-11 13:53",0.39,"12748","United Kingdom",2.34
"573264","22382","LUNCH BAG SPACEBOY DESIGN",4,"28-10-11 12:36",1.65,"14415","United Kingdom",6.6
"572552","84569D","PACK 6 HEART/ICE-CREAM PATCHES",2,"24-10-11 17:07",2.46,"14096","United Kingdom",4.92
"560385","21385","IVORY HANGING DECORATION  HEART",3,"18-07-11 12:53",0.85,"14583","United Kingdom",2.55
"556189","22776","SWEETHEART CAKESTAND 3 TIER",1,"09-06-11 11:57",9.95,"15615","United Kingdom",9.95
"571409","23118","PARISIENNE JEWELLERY DRAWER",2,"17-10-11 12:25",7.5,"14911","EIRE",15.0
"537395","22911","PAPER CHAIN KIT LONDON",1,"06-12-10 14:05",2.95,"15356","United Kingdom",2.95
"545914","22505","MEMO BOARD COTTAGE DESIGN",24,"08-03-11 11:39",4.25,"13340","United Kingdom",102.0
"564346","22097","SWALLOW SQUARE TISSUE BOX",4,"24-08-11 14:54",0.39,"15727","United Kingdom",1.56
"565855","22554","PLASTERS IN TIN WOODLAND ANIMALS",12,"07-09-11 13:30",1.65,"15114","United Kingdom",19.8
"562520","21094","SET/6 RED SPOTTY PAPER PLATES",48,"05-08-11 12:38",0.85,"12599","France",40.8
"566033","21989","PACK OF 20 SKULL PAPER NAPKINS",1,"08-09-11 13:07",0.85,"16031","United Kingdom",0.85
"572669","21210","SET OF 72 RETROSPOT PAPER  DOILIES",1,"25-10-11 13:10",1.45,"16549","United Kingdom",1.45
"541213","21313","GLASS HEART T-LIGHT HOLDER",12,"14-01-11 13:28",0.85,"15033","United Kingdom",10.2
"561064","85066","CREAM SWEETHEART MINI CHEST",2,"24-07-11 14:16",12.75,"18109","United Kingdom",25.5
"543111","21428","SET3 BOOK BOX GREEN GINGHAM FLOWER",1,"03-02-11 12:44",4.25,"15719","United Kingdom",4.25
"553416","21718","RED METAL BEACH SPADE",12,"17-05-11 10:04",1.25,"18198","United Kingdom",15.0
"577128","23350","ROLL WRAP VINTAGE SPOT",2,"17-11-11 19:48",1.25,"14508","United Kingdom",2.5
"546366","21504","SKULLS GREETING CARD",12,"11-03-11 11:37",0.42,"12748","United Kingdom",5.04
"569900","22579","WOODEN TREE CHRISTMAS SCANDINAVIAN",24,"06-10-11 16:17",0.29,"17651","United Kingdom",6.96
"581166","23080","RED METAL BOX TOP SECRET",2,"07-12-11 14:43",8.25,"15525","United Kingdom",16.5
"562173","22470","HEART OF WICKER LARGE",4,"03-08-11 12:12",2.95,"14530","United Kingdom",11.8
"564335","84836","ZINC METAL HEART DECORATION",12,"24-08-11 14:23",1.25,"15800","United Kingdom",15.0
"537608","22082","RIBBON REEL STRIPES DESIGN",5,"07-12-10 13:20",1.65,"15024","United Kingdom",8.25
"572664","20726","LUNCH BAG WOODLAND",10,"25-10-11 12:56",1.65,"16401","United Kingdom",16.5
"570168","22440","BALLOON WATER BOMB PACK OF 35",3,"07-10-11 14:05",0.42,"17596","United Kingdom",1.26
"578094","22722","SET OF 6 SPICE TINS PANTRY DESIGN",1,"22-11-11 17:23",3.95,"16261","United Kingdom",3.95
"574700","21481","FAWN BLUE HOT WATER BOTTLE",2,"06-11-11 13:53",3.75,"16033","United Kingdom",7.5
"561383","22627","MINT KITCHEN SCALES",4,"27-07-11 8:35",8.5,"13730","United Kingdom",34.0
"569486","23313","VINTAGE CHRISTMAS BUNTING",2,"04-10-11 12:51",4.95,"15339","United Kingdom",9.9
"572652","22966","GINGERBREAD MAN COOKIE CUTTER",12,"25-10-11 12:11",1.25,"15805","United Kingdom",15.0
"548715","22653","BUTTON BOX",16,"03-04-11 15:22",1.95,"17758","United Kingdom",31.2
"574269","21012","ANTIQUE ALL GLASS CANDLESTICK",6,"03-11-11 14:27",2.1,"15570","United Kingdom",12.6
"577483","23169","CLASSIC GLASS COOKIE JAR",2,"20-11-11 11:50",4.15,"14502","United Kingdom",8.3
"537224","22405","MONEY BOX POCKET MONEY DESIGN",6,"05-12-10 16:24",1.25,"13174","United Kingdom",7.5
"572291","23320","GIANT 50'S CHRISTMAS CRACKER",1,"23-10-11 12:46",2.89,"16931","United Kingdom",2.89
"542393","35653","VINTAGE BEAD NOTEBOOK",2,"27-01-11 15:02",2.95,"18125","United Kingdom",5.9
"555162","22740","POLKADOT PEN",48,"01-06-11 10:15",0.85,"12473","Germany",40.8
"563753","21213","PACK OF 72 SKULL CAKE CASES",24,"19-08-11 10:51",0.55,"12513","France",13.2
"580673","22867","HAND WARMER BIRD DESIGN",96,"05-12-11 14:30",1.85,"13089","United Kingdom",177.6
"541256","21448","12 DAISY PEGS IN WOOD BOX",6,"16-01-11 14:36",1.65,"13048","United Kingdom",9.9
"580988","22077","6 RIBBONS RUSTIC CHARM",12,"06-12-11 16:41",1.95,"18154","United Kingdom",23.4
"556917","22308","TEA COSY BLUE STRIPE",50,"15-06-11 13:37",2.1,"12415","Australia",105.0
"568916","23322","LARGE WHITE HEART OF WICKER",6,"29-09-11 14:08",2.95,"15452","United Kingdom",17.7
