Rank,CustomerID,Country,Revenue,Orders,AOV
78,16843,United Kingdom,539.5699999999999,8,67.45
79,14606,United Kingdom,535.4399999999999,60,8.92
80,16705,United Kingdom,520.56,6,86.76
81,17677,United Kingdom,513.94,9,57.1
82,13199,United Kingdom,509.1,8,63.64
83,13078,United Kingdom,503.89,13,38.76
84,15615,United Kingdom,500.79,13,38.52
85,17381,United Kingdom,500.52,3,166.84
86,15465,United Kingdom,482.96000000000004,6,80.49
87,12540,Spain,479.68999999999994,10,47.97
88,16041,United Kingdom,478.4,1,478.4
89,14607,United Kingdom,472.0,2,236.0
90,17017,United Kingdom,466.98,8,58.37
91,18055,United Kingdom,465.01,9,51.67
92,12830,United Kingdom,461.44,2,230.72
93,13319,United Kingdom,453.46,10,45.35
94,16652,United Kingdom,443.5,4,110.88
95,15189,United Kingdom,438.12,7,62.59
96,17306,United Kingdom,438.0,2,219.0
97,15129,United Kingdom,435.9,4,108.98
98,12683,France,434.76,9,48.31
99,17428,United Kingdom,431.49,7,61.64
100,13316,United Kingdom,429.05,3,143.02
101,16523,United Kingdom,424.71000000000004,9,47.19
102,16873,United Kingdom,419.72,6,69.95
103,16133,United Kingdom,419.55,8,52.44
104,16353,United Kingdom,417.9,3,139.3
105,15078,United Kingdom,416.86,13,32.07
106,15653,United Kingdom,414.72,1,414.72
107,17203,United Kingdom,408.47999999999996,5,81.7
108,16187,United Kingdom,402.94,8,50.37
109,13458,United Kingdom,396.07,11,36.01
110,13090,United Kingdom,390.87,4,97.72
111,16107,United Kingdom,390.0,2,195.0
112,16839,United Kingdom,389.08,7,55.58
113,13027,United Kingdom,384.0,1,384.0
114,13969,United Kingdom,382.97,8,47.87
115,18008,United Kingdom,382.95,2,191.48
116,17243,United Kingdom,380.51,14,27.18
117,13178,United Kingdom,379.06,7,54.15
118,14733,United Kingdom,378.6,5,75.72
119,15640,United Kingdom,377.68,9,41.96
120,12682,France,377.66,11,34.33
121,14031,United Kingdom,373.48,7,53.35
122,12583,France,373.23,11,33.93
123,16126,United Kingdom,371.85,4,92.96
124,12474,Germany,369.21999999999997,13,28.4
125,12976,United Kingdom,368.48,1,368.48
126,17735,United Kingdom,367.66,12,30.64
127,15046,United Kingdom,364.39,11,33.13
128,12705,Germany,363.17,7,51.88
129,12557,Spain,362.5,2,181.25
130,14057,United Kingdom,359.55,10,35.96
131,17139,United Kingdom,359.33,8,44.92
132,14887,United Kingdom,358.0,1,358.0
133,14062,United Kingdom,357.9,5,71.58
134,12783,Portugal,354.96,4,88.74
135,16033,United Kingdom,353.12,16,22.07
136,16258,United Kingdom,351.96,4,87.99
137,14194,United Kingdom,350.74,13,26.98
138,17975,United Kingdom,348.84000000000003,6,58.14
139,15291,United Kingdom,347.0,3,115.67
140,16655,United Kingdom,345.34,5,69.07
141,13516,United Kingdom,345.0,2,172.5
142,14060,United Kingdom,344.76,10,34.48
143,18172,United Kingdom,342.58,7,48.94
144,16779,United Kingdom,339.25,7,48.46
145,12731,France,338.76,6,56.46
146,14110,United Kingdom,338.0,4,84.5
147,13815,Germany,336.42,3,112.14
148,13340,United Kingdom,331.8,3,110.6
149,12766,Portugal,325.96,6,54.33
150,17315,United Kingdom,323.73,13,24.9
151,12567,France,323.33,7,46.19
152,15113,United Kingdom,322.35,2,161.18
153,14688,United Kingdom,321.83,10,32.18
154,14056,United Kingdom,314.76,18,17.49
155,14543,United Kingdom,313.2,2,156.6
156,16003,United Kingdom,311.96,3,103.99
157,16745,United Kingdom,310.58,9,34.51
158,12590,Germany,309.6,1,309.6
159,14808,United Kingdom,307.94,5,61.59
160,17388,United Kingdom,305.28,1,305.28
161,15808,United Kingdom,304.4,4,76.1
162,12472,Germany,302.8,7,43.26
163,13576,United Kingdom,302.03000000000003,4,75.51
164,12637,France,301.98,5,60.4
165,15358,United Kingdom,298.33,11,27.12
166,12481,Germany,297.5,6,49.58
167,14145,United Kingdom,297.0,1,297.0
168,13452,United Kingdom,295.0,1,295.0
169,12657,France,294.8,3,98.27
170,14367,United Kingdom,294.71,9,32.75
171,12700,France,294.64,4,73.66
172,16746,United Kingdom,293.28000000000003,12,24.44
173,15845,United Kingdom,291.98,6,48.66
174,13629,United Kingdom,291.44,3,97.15
175,17354,United Kingdom,290.75,1,290.75
176,14895,United Kingdom,290.37,7,41.48
177,14961,United Kingdom,290.3,7,41.47
178,17757,United Kingdom,289.55,17,17.03
179,16161,United Kingdom,289.27,14,20.66
180,17716,United Kingdom,289.23,5,57.85
181,18259,United Kingdom,287.4,2,143.7
182,17613,United Kingdom,286.03,10,28.6
183,14709,United Kingdom,286.0,6,47.67
184,12490,France,285.84,9,31.76
185,14534,United Kingdom,283.79,12,23.65
186,17706,United Kingdom,282.8,6,47.13
187,14936,Channel Islands,282.7,5,56.54
188,14415,United Kingdom,282.56,12,23.55
189,13488,United Kingdom,281.15,10,28.12
190,13209,United Kingdom,281.09,5,56.22
191,12971,United Kingdom,281.08,7,40.15
192,15034,United Kingdom,280.3,6,46.72
193,12553,France,279.94,8,34.99
194,13097,United Kingdom,279.9,9,31.1
195,16713,United Kingdom,279.8,11,25.44
196,13908,United Kingdom,275.96,4,68.99
197,16558,United Kingdom,275.04,12,22.92
198,17659,United Kingdom,274.94,6,45.82
199,12451,Switzerland,273.34,3,91.11
200,14292,United Kingdom,270.0,3,90.0
201,13261,United Kingdom,270.0,1,270.0
202,14527,United Kingdom,268.17,24,11.17
203,13870,United Kingdom,266.59999999999997,5,53.32
204,15854,United Kingdom,266.27000000000004,4,66.57
205,12539,Spain,265.6,4,66.4
206,17768,United Kingdom,264.89,3,88.3
207,15601,United Kingdom,264.7,10,26.47
208,13709,United Kingdom,264.3,9,29.37
209,13520,Switzerland,263.28000000000003,5,52.66
210,16672,United Kingdom,262.2,3,87.4
211,12473,Germany,261.6,4,65.4
212,17509,United Kingdom,260.05,7,37.15
213,15245,United Kingdom,259.2,2,129.6
214,17865,United Kingdom,256.68,6,42.78
215,17386,United Kingdom,255.6,2,127.8
216,15005,United Kingdom,255.45,24,10.64
217,16180,United Kingdom,254.9,4,63.72
218,16722,United Kingdom,254.84,9,28.32
219,12613,Germany,253.70999999999998,5,50.74
220,12359,Cyprus,252.9,4,63.22
221,12437,France,252.8,9,28.09
222,17811,United Kingdom,252.08,17,14.83
223,14800,United Kingdom,249.69,8,31.21
224,16923,United Kingdom,247.92000000000002,15,16.53
225,16191,United Kingdom,246.4,3,82.13
226,17528,United Kingdom,245.62,7,35.09
227,12626,Germany,245.6,6,40.93
228,12798,Japan,244.8,1,244.8
229,14796,United Kingdom,244.26,14,17.45
230,13266,United Kingdom,242.88,9,26.99
231,15805,United Kingdom,242.65,7,34.66
232,17593,United Kingdom,242.3,4,60.58
233,16701,United Kingdom,242.0,6,40.33
234,13668,United Kingdom,241.25,9,26.81
235,13881,United Kingdom,241.0,4,60.25
236,13093,United Kingdom,240.96,4,60.24
237,15044,United Kingdom,240.45000000000002,7,34.35
238,12360,Austria,240.09,3,80.03
239,13985,United Kingdom,238.20000000000002,8,29.78
240,15364,United Kingdom,237.6,1,237.6
241,14616,United Kingdom,237.6,1,237.6
242,14755,United Kingdom,236.95999999999998,7,33.85
243,12720,Germany,236.57999999999998,12,19.72
244,16729,United Kingdom,236.05,13,18.16
245,15290,United Kingdom,235.6,7,33.66
246,17377,United Kingdom,233.85,11,21.26
247,13722,United Kingdom,233.4,2,116.7
248,13050,United Kingdom,232.08,10,23.21
249,14944,United Kingdom,231.1,6,38.52
250,14673,United Kingdom,230.05,4,57.51
251,15581,United Kingdom,229.88000000000002,3,76.63
252,15144,United Kingdom,229.4,6,38.23
253,18073,United Kingdom,228.96,1,228.96
254,13018,United Kingdom,228.2,11,20.75
255,18139,United Kingdom,227.39999999999998,3,75.8
256,17107,United Kingdom,225.01,5,45.0
257,14227,United Kingdom,224.2,7,32.03
258,14503,United Kingdom,223.82,5,44.76
259,17183,United Kingdom,223.07999999999998,3,74.36
260,14401,United Kingdom,221.16,8,27.64
261,18229,United Kingdom,221.1,6,36.85
262,16945,United Kingdom,220.54,8,27.57
263,12397,Belgium,219.85,1,219.85
264,18109,United Kingdom,218.95,16,13.68
265,13952,United Kingdom,218.6,2,109.3
266,14191,United Kingdom,218.5,8,27.31
267,12409,Switzerland,216.84,2,108.42
268,12704,Finland,216.28,6,36.05
269,13263,United Kingdom,214.72,25,8.59
270,17384,United Kingdom,214.2,1,214.2
271,12685,France,212.26,4,53.06
272,17686,United Kingdom,211.95,5,42.39
273,13468,United Kingdom,210.97,10,21.1
274,13004,United Kingdom,210.96,11,19.18
275,12627,Germany,210.57999999999998,6,35.1
276,12395,Belgium,210.27,7,30.04
277,12754,Japan,210.03,3,70.01
278,12619,Germany,209.82,2,104.91
279,12356,Portugal,208.4,1,208.4
280,15301,United Kingdom,207.85,7,29.69
281,12867,United Kingdom,207.75,6,34.62
282,18173,United Kingdom,207.5,1,207.5
283,15874,United Kingdom,207.2,3,69.07
284,14553,United Kingdom,207.0,3,69.0
285,15606,United Kingdom,205.8,3,68.6
286,16145,United Kingdom,205.4,6,34.23
287,17061,United Kingdom,204.95,2,102.48
288,12461,Switzerland,204.56,2,102.28
289,17669,United Kingdom,204.2,2,102.1
290,17163,United Kingdom,204.0,2,102.0
291,13748,United Kingdom,204.0,1,204.0
292,18194,United Kingdom,204.0,1,204.0
293,18064,United Kingdom,204.0,1,204.0
294,14147,United Kingdom,204.0,1,204.0
295,17364,United Kingdom,203.42000000000002,7,29.06
296,15023,United Kingdom,202.07999999999998,9,22.45
297,16626,United Kingdom,201.8,8,25.22
298,12370,Cyprus,201.72,3,67.24
299,13426,United Kingdom,200.54,6,33.42
300,16265,United Kingdom,200.48,5,40.1
301,12431,Australia,200.36,7,28.62
302,12585,Germany,199.7,2,99.85
303,16931,United Kingdom,199.01,16,12.44
304,13562,United Kingdom,198.95,2,99.48
305,13139,United Kingdom,198.3,5,39.66
306,16327,United Kingdom,198.1,6,33.02
307,17758,United Kingdom,198.03,6,33.01
308,13658,United Kingdom,198.0,3,66.0
309,13975,United Kingdom,197.78,5,39.56
310,14849,United Kingdom,197.22,7,28.17
311,15786,United Kingdom,196.15,2,98.08
312,15621,United Kingdom,195.7,1,195.7
313,13759,United Kingdom,195.67,1,195.67
314,14907,United Kingdom,195.62,4,48.9
315,12362,Belgium,195.6,7,27.94
316,14562,United Kingdom,195.48,12,16.29
317,15298,United Kingdom,194.76,8,24.34
318,17937,United Kingdom,194.4,2,97.2
319,14667,United Kingdom,193.10999999999999,13,14.85
320,14229,United Kingdom,190.2,1,190.2
321,17951,United Kingdom,190.2,2,95.1
322,12357,Switzerland,189.69,1,189.69
323,13871,United Kingdom,189.48,7,27.07
324,13505,Switzerland,189.28,3,63.09
325,15218,United Kingdom,188.9,5,37.78
326,15903,United Kingdom,187.68,3,62.56
327,12405,Finland,187.62,1,187.62
328,14004,United Kingdom,187.3,6,31.22
329,17490,United Kingdom,186.6,2,93.3
330,13890,United Kingdom,186.26,7,26.61
331,15288,United Kingdom,185.78,3,61.93
332,13013,United Kingdom,185.70000000000002,5,37.14
333,13422,United Kingdom,184.98,1,184.98
334,17588,United Kingdom,184.42000000000002,2,92.21
335,15071,United Kingdom,183.60000000000002,2,91.8
336,17828,Malta,183.4,1,183.4
337,14092,United Kingdom,181.95,6,30.32
338,16156,United Kingdom,181.6,2,90.8
339,12957,United Kingdom,181.51,5,36.3
340,13269,United Kingdom,181.44,8,22.68
341,14221,United Kingdom,181.3,5,36.26
342,16218,United Kingdom,181.16,5,36.23
343,12476,Germany,180.78,4,45.2
344,16377,United Kingdom,180.0,1,180.0
345,13102,United Kingdom,179.14000000000001,9,19.9
346,14085,United Kingdom,179.08,9,19.9
347,13704,United Kingdom,178.93,8,22.37
348,17338,United Kingdom,176.87,8,22.11
349,14711,United Kingdom,176.33,9,19.59
350,17644,United Kingdom,176.1,7,25.16
351,12536,France,175.91,1,175.91
352,12352,Norway,175.7,5,35.14
353,14852,United Kingdom,175.45,4,43.86
354,13862,United Kingdom,175.31,4,43.83
355,17040,United Kingdom,175.2,1,175.2
356,12839,United Kingdom,173.6,9,19.29
357,13015,United Kingdom,173.0,4,43.25
358,17648,United Kingdom,172.8,3,57.6
359,17084,United Kingdom,172.48000000000002,2,86.24
360,15484,United Kingdom,172.35,4,43.09
361,16293,United Kingdom,171.66,7,24.52
362,17799,United Kingdom,171.54,8,21.44
363,16871,United Kingdom,170.78,5,34.16
364,16303,United Kingdom,170.0,2,85.0
365,14546,United Kingdom,169.97,5,33.99
366,17230,United Kingdom,169.9,3,56.63
367,13758,United Kingdom,169.6,4,42.4
368,12483,Sweden,169.44,2,84.72
369,15150,United Kingdom,169.28,7,24.18
370,17426,United Kingdom,169.28,4,42.32
371,12500,Germany,167.76,2,83.88
372,13437,United Kingdom,167.76,5,33.55
373,15676,United Kingdom,166.95,2,83.48
374,12569,Germany,166.44,7,23.78
375,13461,United Kingdom,166.4,2,83.2
376,15382,United Kingdom,166.24,5,33.25
377,13325,United Kingdom,166.0,1,166.0
378,17068,United Kingdom,165.85,7,23.69
379,12747,United Kingdom,165.8,5,33.16
380,15694,United Kingdom,165.60000000000002,3,55.2
381,13225,United Kingdom,165.0,1,165.0
382,14239,United Kingdom,165.0,4,41.25
383,14132,United Kingdom,164.96,7,23.57
384,13644,United Kingdom,163.69,4,40.92
385,15708,United Kingdom,163.55,7,23.36
386,15249,United Kingdom,163.4,7,23.34
387,15752,United Kingdom,163.03,6,27.17
388,18225,United Kingdom,162.35,7,23.19
389,17591,United Kingdom,162.05,5,32.41
390,13450,United Kingdom,161.7,4,40.42
391,16281,United Kingdom,161.4,1,161.4
392,17690,United Kingdom,160.45000000000002,3,53.48
393,12928,United Kingdom,160.2,3,53.4
394,12502,Spain,160.15,4,40.04
395,18079,United Kingdom,160.08,2,80.04
396,16928,United Kingdom,159.95,8,19.99
397,13654,United Kingdom,159.94,6,26.66
398,18223,United Kingdom,159.86,4,39.97
399,15547,United Kingdom,159.79,12,13.32
400,14329,United Kingdom,159.46,6,26.58
401,18198,United Kingdom,159.22,5,31.84
402,15555,United Kingdom,158.95000000000002,13,12.23
403,17730,United Kingdom,158.94,7,22.71
404,17696,United Kingdom,157.6,2,78.8
405,13137,United Kingdom,157.56,8,19.7
406,12562,France,157.3,4,39.33
407,14388,United Kingdom,157.0,4,39.25
408,13630,United Kingdom,156.6,4,39.15
409,13069,United Kingdom,156.6,11,14.24
410,15033,United Kingdom,156.56,8,19.57
411,14180,United Kingdom,155.95,9,17.33
412,17211,United Kingdom,155.71,7,22.24
413,12841,United Kingdom,155.57999999999998,8,19.45
414,14112,United Kingdom,155.3,5,31.06
415,18245,United Kingdom,155.12,5,31.02
416,15194,United Kingdom,154.94,7,22.13
417,17050,United Kingdom,154.93,5,30.99
418,14121,United Kingdom,154.68,4,38.67
419,14505,United Kingdom,154.24,8,19.28
420,17722,United Kingdom,154.13,4,38.53
421,17504,United Kingdom,153.8,3,51.27
422,15704,United Kingdom,153.68,3,51.23
423,13267,United Kingdom,153.65,7,21.95
424,18118,United Kingdom,152.21,23,6.62
425,14395,United Kingdom,152.06,7,21.72
426,13124,United Kingdom,151.56,3,50.52
427,16150,United Kingdom,150.95,3,50.32
428,14235,United Kingdom,150.29999999999998,3,50.1
429,17850,United Kingdom,150.1,6,25.02
430,14209,United Kingdom,149.3,4,37.33
431,14525,United Kingdom,148.86,4,37.22
432,14456,United Kingdom,148.68,9,16.52
433,16019,United Kingdom,147.69,3,49.23
434,14422,United Kingdom,147.36,2,73.68
435,14159,United Kingdom,147.29,10,14.73
436,17419,United Kingdom,147.25,5,29.45
437,16170,United Kingdom,146.96,5,29.39
438,17002,United Kingdom,146.4,3,48.8
439,13880,United Kingdom,146.4,6,24.4
440,17567,United Kingdom,146.15,4,36.54
441,17873,United Kingdom,145.79999999999998,3,48.6
442,12691,France,145.5,1,145.5
443,16985,United Kingdom,145.35,3,48.45
444,14189,United Kingdom,145.32,7,20.76
445,17530,United Kingdom,144.4,8,18.05
446,15518,United Kingdom,144.15,6,24.02
447,13534,United Kingdom,143.9,6,23.98
448,15485,United Kingdom,143.74,3,47.91
449,12744,Singapore,143.5,4,35.88
450,12670,France,143.4,3,47.8
451,15865,United Kingdom,143.4,2,71.7
452,12949,United Kingdom,143.16,4,35.79
453,14700,United Kingdom,143.03,3,47.68
454,16818,United Kingdom,142.35,8,17.79
455,14390,United Kingdom,142.12,5,28.42
456,14032,United Kingdom,142.0,4,35.5
457,14257,United Kingdom,141.69,3,47.23
458,14434,United Kingdom,141.6,1,141.6
459,16549,United Kingdom,141.59,10,14.16
460,15738,United Kingdom,141.47,5,28.29
461,13814,Germany,141.0,2,70.5
462,17049,United Kingdom,140.22,7,20.03
463,17725,United Kingdom,140.19,5,28.04
464,15955,United Kingdom,139.86,5,27.97
465,12518,Germany,139.64,5,27.93
466,18226,United Kingdom,139.63,5,27.93
467,13527,United Kingdom,139.4,6,23.23
468,13842,United Kingdom,138.66,4,34.66
469,16186,United Kingdom,138.6,5,27.72
470,16316,United Kingdom,138.54,3,46.18
471,18251,United Kingdom,138.24,1,138.24
472,17268,United Kingdom,138.24,1,138.24
473,15755,United Kingdom,137.6,3,45.87
474,18257,United Kingdom,137.49,4,34.37
475,15861,United Kingdom,137.32,7,19.62
476,13536,United Kingdom,137.18,6,22.86
477,15719,United Kingdom,137.08,12,11.42
478,12370,Austria,137.0,1,137.0
479,17302,United Kingdom,136.54999999999998,4,34.14
480,14439,Greece,136.5,1,136.5
481,16242,United Kingdom,136.42000000000002,3,45.47
482,16790,United Kingdom,136.25,3,45.42
483,17147,United Kingdom,136.05,2,68.03
484,18041,United Kingdom,135.8,8,16.98
485,17131,United Kingdom,135.45,3,45.15
486,14732,United Kingdom,134.65,5,26.93
487,14459,United Kingdom,134.2,1,134.2
488,17920,United Kingdom,133.76,12,11.15
489,17076,United Kingdom,133.2,2,66.6
490,16940,United Kingdom,132.83,3,44.28
491,17365,United Kingdom,132.8,6,22.13
492,14530,United Kingdom,132.5,6,22.08
493,18231,United Kingdom,132.5,4,33.12
494,16607,United Kingdom,132.3,7,18.9
495,16700,United Kingdom,132.28,7,18.9
496,12520,Germany,132.02,3,44.01
497,15024,United Kingdom,131.95,5,26.39
498,12598,France,131.33,5,26.27
499,14462,United Kingdom,131.24,7,18.75
500,12749,United Kingdom,130.9,4,32.72
501,16609,United Kingdom,130.85,3,43.62
502,13448,United Kingdom,130.6,3,43.53
503,16712,United Kingdom,130.49,7,18.64
504,12779,Poland,130.16,4,32.54
505,15136,United Kingdom,130.02,3,43.34
506,13418,United Kingdom,129.96,6,21.66
507,12484,Spain,129.6,4,32.4
508,15271,United Kingdom,128.82,8,16.1
509,13769,United Kingdom,128.35000000000002,3,42.78
510,15398,United Kingdom,128.26,2,64.13
511,15410,United Kingdom,128.2,3,42.73
512,14748,United Kingdom,128.15,5,25.63
513,16011,United Kingdom,127.95,5,25.59
514,13148,United Kingdom,127.89,6,21.32
515,16497,United Kingdom,127.74,4,31.94
516,13038,United Kingdom,127.5,2,63.75
517,14702,United Kingdom,127.4,7,18.2
518,16553,United Kingdom,126.36,3,42.12
519,12955,United Kingdom,126.36,5,25.27
520,13994,United Kingdom,126.27,4,31.57
521,13451,United Kingdom,126.13,5,25.23
522,15491,United Kingdom,125.94,5,25.19
523,12714,France,125.84,5,25.17
524,13988,United Kingdom,125.78,4,31.44
525,18210,United Kingdom,125.52000000000001,2,62.76
526,17223,United Kingdom,125.42,2,62.71
527,14493,United Kingdom,125.28,4,31.32
528,17238,United Kingdom,125.13,11,11.38
529,15021,United Kingdom,125.04,8,15.63
530,17519,United Kingdom,124.8,2,62.4
531,17096,United Kingdom,124.69999999999999,3,41.57
532,18260,United Kingdom,124.65,5,24.93
533,13493,Switzerland,124.5,2,62.25
534,12534,Germany,123.9,1,123.9
535,14049,United Kingdom,123.78999999999999,4,30.95
536,15373,United Kingdom,123.45,5,24.69
537,16083,United Kingdom,123.36,2,61.68
538,17173,United Kingdom,123.3,1,123.3
539,16686,United Kingdom,123.19,6,20.53
540,14701,United Kingdom,122.79,6,20.46
541,17625,United Kingdom,122.50999999999999,4,30.63
542,16533,United Kingdom,122.27,3,40.76
543,13268,United Kingdom,122.24,6,20.37
544,13523,United Kingdom,121.68,4,30.42
545,13700,United Kingdom,121.39,4,30.35
546,12721,France,120.35,3,40.12
547,17862,United Kingdom,120.0,1,120.0
548,13362,United Kingdom,119.48,4,29.87
549,17220,United Kingdom,119.38,10,11.94
550,15998,United Kingdom,119.2,5,23.84
551,16814,United Kingdom,118.9,8,14.86
552,15804,United Kingdom,118.84,3,39.61
553,16319,United Kingdom,118.8,1,118.8
554,12380,Belgium,118.61,3,39.54
555,16880,United Kingdom,118.55,5,23.71
556,14524,United Kingdom,118.4,5,23.68
557,14250,United Kingdom,118.24,2,59.12
558,15123,United Kingdom,117.9,2,58.95
559,12423,Belgium,117.82,7,16.83
560,16919,United Kingdom,117.79,10,11.78
561,12444,Norway,117.75999999999999,3,39.25
562,13082,United Kingdom,117.66,2,58.83
563,14107,United Kingdom,117.42,4,29.36
564,15993,United Kingdom,117.31,5,23.46
565,14713,United Kingdom,117.17,9,13.02
566,16764,United Kingdom,117.13,11,10.65
567,13659,United Kingdom,116.88,2,58.44
568,16205,United Kingdom,116.66,3,38.89
569,17719,United Kingdom,116.57,6,19.43
570,16743,United Kingdom,116.47999999999999,6,19.41
571,15687,United Kingdom,116.3,6,19.38
572,17491,United Kingdom,115.65,4,28.91
573,17651,United Kingdom,115.34,4,28.84
574,14770,United Kingdom,115.17,2,57.58
575,14626,United Kingdom,115.15,4,28.79
576,12694,France,114.4,2,57.2
577,15411,United Kingdom,114.36,4,28.59
578,16717,United Kingdom,113.95,3,37.98
579,12407,Belgium,113.85,2,56.92
580,17069,United Kingdom,113.79,5,22.76
581,12610,Italy,113.75,3,37.92
582,14639,United Kingdom,113.7,5,22.74
583,16458,United Kingdom,113.5,5,22.7
584,14262,United Kingdom,113.4,3,37.8
585,12480,Germany,113.15,4,28.29
586,13632,United Kingdom,113.11,5,22.62
587,16556,United Kingdom,112.83,3,37.61
588,15811,United Kingdom,112.62,5,22.52
589,15241,United Kingdom,112.5,4,28.12
590,12688,Israel,112.4,1,112.4
591,17058,United Kingdom,112.25,2,56.12
592,15073,United Kingdom,112.23000000000002,2,56.12
593,17213,United Kingdom,112.14,5,22.43
594,17663,United Kingdom,111.55,3,37.18
595,14752,United Kingdom,111.24000000000001,1,111.24
596,12524,Germany,111.24,4,27.81
597,16904,United Kingdom,111.12,9,12.35
598,17402,United Kingdom,111.1,5,22.22
599,17997,United Kingdom,109.82000000000001,4,27.46
600,12412,Denmark,109.56,2,54.78
601,14286,United Kingdom,109.5,2,54.75
602,14844,United Kingdom,109.39999999999999,3,36.47
603,13014,United Kingdom,109.35,3,36.45
604,13344,United Kingdom,109.2,2,54.6
605,13895,United Kingdom,109.19999999999999,2,54.6
606,14669,United Kingdom,109.14999999999999,3,36.38
607,17001,United Kingdom,109.08,4,27.27
608,16360,United Kingdom,109.04,5,21.81
609,14282,United Kingdom,109.0,5,21.8
610,12727,France,108.84,3,36.28
611,17115,United Kingdom,108.55,2,54.28
612,13330,United Kingdom,108.36,2,54.18
613,13384,United Kingdom,108.17999999999999,3,36.06
614,14101,United Kingdom,108.16,1,108.16
615,13756,United Kingdom,108.0,4,27.0
616,15696,United Kingdom,107.84,4,26.96
617,13725,United Kingdom,107.8,3,35.93
618,13999,United Kingdom,107.75,5,21.55
619,12712,Germany,107.7,2,53.85
620,13334,United Kingdom,107.65,3,35.88
621,16153,United Kingdom,107.6,2,53.8
622,17282,United Kingdom,107.35,2,53.68
623,13811,Germany,107.25,2,53.62
624,15722,United Kingdom,107.1,2,53.55
625,12449,Belgium,107.08,2,53.54
626,13593,United Kingdom,107.05,4,26.76
627,14842,United Kingdom,106.75,2,53.38
628,15674,United Kingdom,105.86,2,52.93
629,13183,United Kingdom,105.8,2,52.9
630,13982,United Kingdom,105.75,3,35.25
631,15563,United Kingdom,105.34,2,52.67
632,18065,United Kingdom,105.2,5,21.04
633,16241,United Kingdom,105.14,9,11.68
634,17180,United Kingdom,105.13,3,35.04
635,16098,United Kingdom,105.0,3,35.0
