InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,Revenue,InvoiceMonth,CohortMonth,CohortIndex,Region
555513,84078A,SET/4 WHITE RETRO STORAGE CUBES,18,05-06-11 10:38,34.95,12980,United Kingdom,629.1,2011-06,2011-02,4,UK
579946,23300,GARDENERS KNEELING PAD CUP OF TEA,4,01-12-11 10:44,1.65,15993,United Kingdom,6.6,2011-12,2011-10,2,UK
574936,22759,SET OF 3 NOTEBOOKS IN PARCEL,4,07-11-11 17:06,1.65,13066,United Kingdom,6.6,2011-11,2011-11,0,UK
565432,23298,SPOTTY BUNTING,2,04-09-11 13:16,4.95,16241,United Kingdom,9.9,2011-09,2011-01,8,UK
543995,22894,TABLECLOTH RED APPLES DESIGN,12,15-02-11 10:45,9.95,13408,United Kingdom,119.4,2011-02,2010-12,2,UK
557214,22467,GUMBALL COAT RACK,6,17-06-11 12:20,2.55,17677,United Kingdom,15.3,2011-06,2010-12,6,UK
578086,21094,SET/6 RED SPOTTY PAPER PLATES,36,22-11-11 16:43,0.85,17519,United Kingdom,30.6,2011-11,2011-07,4,UK
541602,21754,HOME BUILDING BLOCK WORD,2,19-01-11 17:17,5.95,17231,United Kingdom,11.9,2011-01,2010-12,1,UK
577536,23311,VINTAGE CHRISTMAS STOCKING,1,20-11-11 14:14,2.55,15850,United Kingdom,2.55,2011-11,2011-06,5,UK
552764,21889,WOODEN BOX OF DOMINOES,12,11-05-11 11:34,1.25,17489,United Kingdom,15,2011-05,2011-05,0,UK
573993,22623,BOX OF VINTAGE JIGSAW BLOCKS,3,02-11-11 11:23,5.95,16790,United Kingdom,17.85,2011-11,2011-11,0,UK
566076,22625,RED KITCHEN SCALES,4,09-09-11 9:13,8.5,12449,Belgium,34,2011-09,2011-08,1,International
537624,22068,BLACK PIRATE TREASURE CHEST,1,07-12-10 14:41,1.65,12748,United Kingdom,1.65,2010-12,2010-12,0,UK
578339,23267,SET OF 4 SANTA PLACE SETTINGS,12,24-11-11 9:07,1.25,12421,Spain,15,2011-11,2011-06,5,International
547490,21114,LAVENDER SCENTED FABRIC HEART,10,23-03-11 11:48,1.25,17507,United Kingdom,12.5,2011-03,2011-02,1,UK
570857,22982,PANTRY PASTRY BRUSH,1,12-10-11 15:06,1.25,15555,United Kingdom,1.25,2011-10,2010-12,10,UK
559547,20712,JUMBO BAG WOODLAND ANIMALS,2,10-07-11 15:12,2.08,17758,United Kingdom,4.16,2011-07,2011-04,3,UK
580678,23322,LARGE WHITE HEART OF WICKER,2,05-12-11 14:49,2.95,18015,United Kingdom,5.9,2011-12,2011-12,0,UK
542506,48187,DOORMAT NEW ENGLAND,4,28-01-11 12:06,7.95,16523,United Kingdom,31.8,2011-01,2011-01,0,UK
538008,22907,PACK OF 20 NAPKINS PANTRY DESIGN,24,09-12-10 12:17,0.85,12683,France,20.4,2010-12,2010-12,0,International
564056,22467,GUMBALL COAT RACK,3,22-08-11 14:13,2.55,14387,United Kingdom,7.65,2011-08,2011-08,0,UK
566240,21080,SET/20 RED RETROSPOT PAPER NAPKINS,1,11-09-11 11:29,0.85,14508,United Kingdom,0.85,2011-09,2011-09,0,UK
552723,23298,SPOTTY BUNTING,12,11-05-11 10:18,4.95,16229,United Kingdom,59.4,2011-05,2011-05,0,UK
540552,21361,LOVE LARGE WOOD LETTERS,1,10-01-11 9:44,12.75,16350,United Kingdom,12.75,2011-01,2011-01,0,UK
571296,22041,"RECORD FRAME 7"" SINGLE SIZE""",1,16-10-11 16:13,2.55,13760,United Kingdom,2.55,2011-10,2011-03,7,UK
566601,21000,ROSE DU SUD COSMETICS BAG,1,13-09-11 15:57,4.25,16469,United Kingdom,4.25,2011-09,2011-04,5,UK
559167,21929,JUMBO BAG PINK VINTAGE PAISLEY,2,06-07-11 16:54,2.08,17997,United Kingdom,4.16,2011-07,2011-06,1,UK
550968,22055,MINI CAKE STAND  HANGING STRAWBERY,8,21-04-11 16:59,1.65,14961,United Kingdom,13.2,2011-04,2010-12,4,UK
546829,22499,WOODEN UNION JACK BUNTING,3,17-03-11 12:00,5.95,14840,United Kingdom,17.85,2011-03,2011-03,0,UK
565751,22630,DOLLY GIRL LUNCH BOX,2,06-09-11 12:56,1.95,16393,United Kingdom,3.9,2011-09,2011-02,7,UK
541430,22055,MINI CAKE STAND  HANGING STRAWBERY,32,18-01-11 9:50,1.45,12356,Portugal,46.4,2011-01,2011-01,0,International
575087,48129,DOORMAT TOPIARY,1,08-11-11 13:57,8.25,16549,United Kingdom,8.25,2011-11,2011-01,10,UK
559538,22971,QUEENS GUARD COFFEE MUG,2,10-07-11 12:25,2.55,16880,United Kingdom,5.1,2011-07,2011-06,1,UK
555845,84970S,HANGING HEART ZINC T-LIGHT HOLDER,2,07-06-11 13:19,0.85,17015,United Kingdom,1.7,2011-06,2011-06,0,UK
542353,22904,CALENDAR PAPER CUT DESIGN,6,27-01-11 12:19,2.95,16700,United Kingdom,17.7,2011-01,2010-12,1,UK
575918,23235,STORAGE TIN VINTAGE LEAF,2,11-11-11 16:58,2.89,17191,United Kingdom,5.78,2011-11,2010-12,11,UK
550837,22662,LUNCH BAG DOLLY GIRL DESIGN,10,21-04-11 11:03,1.65,15034,United Kingdom,16.5,2011-04,2010-12,4,UK
575508,20970,PINK FLORAL FELTCRAFT SHOULDER BAG,36,10-11-11 10:32,3.39,14646,Netherlands,122.04,2011-11,2010-12,11,International
556482,20677,PINK POLKADOT BOWL,16,12-06-11 13:04,1.25,17242,United Kingdom,20,2011-06,2011-06,0,UK
541285,21041,RED RETROSPOT OVEN GLOVE DOUBLE,6,17-01-11 12:45,2.95,13001,United Kingdom,17.7,2011-01,2011-01,0,UK
578781,22094,RED RETROSPOT TISSUE BOX,1,25-11-11 11:54,0.39,15872,United Kingdom,0.39,2011-11,2011-11,0,UK
550326,16011,ANIMAL STICKERS,25,17-04-11 13:05,0.21,14532,United Kingdom,5.25,2011-04,2010-12,4,UK
542192,20973,12 PENCIL SMALL TUBE WOODLAND,6,26-01-11 11:27,0.65,14049,United Kingdom,3.9,2011-01,2011-01,0,UK
545928,22967,SET 3 SONG BIRD PAPER EGGS ASSORTED,6,08-03-11 11:59,2.95,14407,United Kingdom,17.7,2011-03,2011-03,0,UK
544790,20726,LUNCH BAG WOODLAND,6,23-02-11 12:27,1.65,16940,United Kingdom,9.9,2011-02,2011-02,0,UK
542599,84050,PINK HEART SHAPE EGG FRYING PAN,3,30-01-11 11:01,1.65,17062,United Kingdom,4.95,2011-01,2011-01,0,UK
568329,22595,GINGHAM HEART DECORATION,12,26-09-11 14:12,0.85,15243,United Kingdom,10.2,2011-09,2011-09,0,UK
549568,84978,HANGING HEART JAR T-LIGHT HOLDER,12,10-04-11 15:09,1.25,15665,United Kingdom,15,2011-04,2011-04,0,UK
560368,22419,LIPSTICK PEN RED,2,18-07-11 12:25,0.42,17841,United Kingdom,0.84,2011-07,2010-12,7,UK
537867,22111,SCOTTIE DOG HOT WATER BOTTLE,6,08-12-10 16:48,4.95,16717,United Kingdom,29.7,2010-12,2010-12,0,UK
578040,22948,METAL DECORATION NAUGHTY CHILDREN,4,22-11-11 14:21,0.85,13322,United Kingdom,3.4,2011-11,2011-11,0,UK
574839,23539,WALL ART LOVES' SECRET,1,07-11-11 11:40,5.95,15493,United Kingdom,5.95,2011-11,2011-03,8,UK
575668,23209,LUNCH BAG VINTAGE DOILY,1,10-11-11 14:59,1.65,18283,United Kingdom,1.65,2011-11,2011-01,10,UK
576212,23318,BOX OF 6 MINI VINTAGE CRACKERS,6,14-11-11 12:45,2.49,18082,United Kingdom,14.94,2011-11,2011-11,0,UK
540816,20914,SET/5 RED RETROSPOT LID GLASS BOWLS,6,11-01-11 12:55,2.95,15518,United Kingdom,17.7,2011-01,2011-01,0,UK
547063,84406B,CREAM CUPID HEARTS COAT HANGER,8,20-03-11 13:33,4.15,14769,United Kingdom,33.2,2011-03,2011-03,0,UK
553919,21927,BLUE/CREAM STRIPE CUSHION COVER,12,20-05-11 8:41,1.25,17416,United Kingdom,15,2011-05,2011-03,2,UK
558200,23341,PINK DINER WALL CLOCK,1,27-06-11 13:00,8.5,15976,United Kingdom,8.5,2011-06,2011-05,1,UK
569358,23247,BISCUIT TIN 50'S CHRISTMAS,6,03-10-11 14:53,2.89,18257,United Kingdom,17.34,2011-10,2011-02,8,UK
576876,85176,SEWING SUSAN 21 NEEDLE SET,1,16-11-11 16:42,0.85,16804,United Kingdom,0.85,2011-11,2011-03,8,UK
566291,85014B,RED RETROSPOT UMBRELLA,1,11-09-11 15:31,5.95,12965,United Kingdom,5.95,2011-09,2011-09,0,UK
573906,21931,JUMBO STORAGE BAG SUKI,10,01-11-11 15:12,2.08,16458,United Kingdom,20.8,2011-11,2011-02,9,UK
578824,22623,BOX OF VINTAGE JIGSAW BLOCKS,1,25-11-11 14:02,5.95,17883,United Kingdom,5.95,2011-11,2011-04,7,UK
575086,22187,GREEN CHRISTMAS TREE CARD HOLDER,24,08-11-11 13:52,1.95,16618,United Kingdom,46.8,2011-11,2011-01,10,UK
569007,20726,LUNCH BAG WOODLAND,10,29-09-11 18:51,1.65,17552,United Kingdom,16.5,2011-09,2010-12,9,UK
547514,22555,PLASTERS IN TIN STRONGMAN,12,23-03-11 14:00,1.65,17486,United Kingdom,19.8,2011-03,2011-03,0,UK
552874,21724,PANDA AND BUNNIES STICKER SHEET,12,12-05-11 9:40,0.85,12621,Germany,10.2,2011-05,2010-12,5,International
562457,23308,SET OF 60 VINTAGE LEAF CAKE CASES,24,05-08-11 11:00,0.55,18079,United Kingdom,13.2,2011-08,2011-04,4,UK
548616,21891,TRADITIONAL WOODEN SKIPPING ROPE,24,01-04-11 11:48,1.25,18263,United Kingdom,30,2011-04,2011-04,0,UK
562711,23031,DRAWER KNOB CRACKLE GLAZE PINK,2,08-08-11 14:53,1.65,16788,United Kingdom,3.3,2011-08,2011-03,5,UK
545066,21621,VINTAGE UNION JACK BUNTING,4,27-02-11 14:44,8.5,13610,United Kingdom,34,2011-02,2011-02,0,UK
548215,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,48,30-03-11 9:19,0.29,15674,United Kingdom,13.92,2011-03,2011-03,0,UK
542233,22846,BREAD BIN DINER STYLE RED,8,26-01-11 13:46,14.95,13098,United Kingdom,119.6,2011-01,2011-01,0,UK
553036,22524,CHILDRENS GARDEN GLOVES BLUE,12,13-05-11 8:09,1.25,15129,United Kingdom,15,2011-05,2011-05,0,UK
568367,22666,RECIPE BOX PANTRY YELLOW DESIGN,6,26-09-11 15:51,2.95,15755,United Kingdom,17.7,2011-09,2011-04,5,UK
561043,22170,PICTURE FRAME WOOD TRIPLE PORTRAIT,4,24-07-11 12:20,6.75,15708,United Kingdom,27,2011-07,2010-12,7,UK
563697,21929,JUMBO BAG PINK VINTAGE PAISLEY,2,18-08-11 13:44,2.08,16813,United Kingdom,4.16,2011-08,2011-05,3,UK
536437,17021,NAMASTE SWAGAT INCENSE,600,01-12-10 12:12,0.24,13694,United Kingdom,144,2010-12,2010-12,0,UK
564856,22894,TABLECLOTH RED APPLES DESIGN,10,31-08-11 9:11,9.95,12477,Germany,99.5,2011-08,2011-02,6,International
579689,21340,CLASSIC METAL BIRDCAGE PLANT HOLDER,1,30-11-11 14:00,12.75,14606,United Kingdom,12.75,2011-11,2010-12,11,UK
566345,22613,PACK OF 20 SPACEBOY NAPKINS,6,12-09-11 12:27,0.85,17685,United Kingdom,5.1,2011-09,2011-03,6,UK
551822,21642,ASSORTED TUTTI FRUTTI PEN,48,04-05-11 12:26,0.85,13524,United Kingdom,40.8,2011-05,2011-05,0,UK
578357,17012C,ORIGAMI LAVENDER INCENSE/CANDL SET,18,24-11-11 10:24,0.85,17228,United Kingdom,15.3,2011-11,2011-09,2,UK
576690,22469,HEART OF WICKER SMALL,4,16-11-11 12:19,1.65,15900,United Kingdom,6.6,2011-11,2011-11,0,UK
538378,22374,AIRLINE BAG VINTAGE JET SET RED,2,12-12-10 11:26,4.25,14577,United Kingdom,8.5,2010-12,2010-12,0,UK
576851,22153,ANGEL DECORATION STARS ON DRESS,3,16-11-11 15:41,0.42,15967,United Kingdom,1.26,2011-11,2011-01,10,UK
559687,85184C,SET 4 VALENTINE DECOUPAGE HEART BOX,1,11-07-11 15:28,2.95,17966,United Kingdom,2.95,2011-07,2011-07,0,UK
577052,22111,SCOTTIE DOG HOT WATER BOTTLE,1,17-11-11 14:08,4.95,17397,United Kingdom,4.95,2011-11,2011-11,0,UK
571433,22191,IVORY DINER WALL CLOCK,2,17-10-11 13:19,8.5,13015,United Kingdom,17,2011-10,2011-04,6,UK
539988,21358,TOAST ITS - HAPPY BIRTHDAY,1,23-12-10 16:06,1.25,18116,United Kingdom,1.25,2010-12,2010-12,0,UK
566076,22549,PICTURE DOMINOES,12,09-09-11 9:13,1.45,12449,Belgium,17.4,2011-09,2011-08,1,International
543370,22556,PLASTERS IN TIN CIRCUS PARADE,12,07-02-11 14:51,1.65,12359,Cyprus,19.8,2011-02,2011-01,1,International
572309,22286,DECORATION WOBBLY RABBIT METAL,1,23-10-11 15:29,0.39,14432,United Kingdom,0.39,2011-10,2011-09,1,UK
581146,20973,12 PENCIL SMALL TUBE WOODLAND,8,07-12-11 13:53,0.65,17602,United Kingdom,5.2,2011-12,2011-01,11,UK
554651,22170,PICTURE FRAME WOOD TRIPLE PORTRAIT,4,25-05-11 12:55,6.75,12779,Poland,27,2011-05,2011-01,4,International
569651,22737,RIBBON REEL CHRISTMAS PRESENT,5,05-10-11 12:49,1.65,14534,United Kingdom,8.25,2011-10,2011-01,9,UK
567850,23268,SET OF 2 CERAMIC CHRISTMAS REINDEER,12,22-09-11 13:18,1.45,15067,United Kingdom,17.4,2011-09,2011-03,6,UK
570116,22301,COFFEE MUG CAT + BIRD DESIGN,2,07-10-11 12:38,2.55,12856,United Kingdom,5.1,2011-10,2011-10,0,UK
555558,22664,TOY TIDY DOLLY GIRL DESIGN,2,05-06-11 14:06,2.1,14159,United Kingdom,4.2,2011-06,2010-12,6,UK
537399,22965,3 TRADITIONAl BISCUIT CUTTERS  SET,1,06-12-10 14:31,2.1,13030,United Kingdom,2.1,2010-12,2010-12,0,UK
573151,22551,PLASTERS IN TIN SPACEBOY,4,27-10-11 20:09,1.65,17602,United Kingdom,6.6,2011-10,2011-01,9,UK
555638,23106,ZINC HEARTS PLANT POT HOLDER,8,06-06-11 12:51,2.89,15150,United Kingdom,23.12,2011-06,2011-03,3,UK
561006,47599A,PINK PARTY BAGS,6,22-07-11 15:02,2.1,16161,United Kingdom,12.6,2011-07,2010-12,7,UK
541782,22355,CHARLOTTE BAG SUKI DESIGN,10,21-01-11 11:50,0.85,13102,United Kingdom,8.5,2011-01,2010-12,1,UK
565845,23203,JUMBO BAG VINTAGE DOILY,30,07-09-11 12:21,2.08,14709,United Kingdom,62.4,2011-09,2011-01,8,UK
547960,21890,S/6 WOODEN SKITTLES IN COTTON BAG,1,28-03-11 15:27,2.95,15644,United Kingdom,2.95,2011-03,2011-03,0,UK
554016,23254,CHILDRENS CUTLERY DOLLY GIRL,4,20-05-11 13:14,4.15,13243,United Kingdom,16.6,2011-05,2011-05,0,UK
570414,22835,HOT WATER BOTTLE I AM SO POORLY,4,10-10-11 13:17,4.95,17214,United Kingdom,19.8,2011-10,2011-02,8,UK
566561,23551,PACK OF 12 PAISLEY PARK TISSUES,24,13-09-11 12:13,0.39,18145,United Kingdom,9.36,2011-09,2011-01,8,UK
537852,22456,NATURAL SLATE CHALKBOARD LARGE,12,08-12-10 15:56,4.95,17340,United Kingdom,59.4,2010-12,2010-12,0,UK
544083,84378,SET OF 3 HEART COOKIE CUTTERS,12,15-02-11 15:51,1.25,15606,United Kingdom,15,2011-02,2011-01,1,UK
555245,23200,JUMBO BAG PEARS,1,01-06-11 14:12,2.08,14800,United Kingdom,2.08,2011-06,2010-12,6,UK
568994,23559,WOODLAND BUNNIES LOLLY MAKERS,6,29-09-11 16:52,2.08,12598,France,12.48,2011-09,2011-02,7,International
557485,85099F,JUMBO BAG STRAWBERRY,400,20-06-11 14:38,1.79,15769,United Kingdom,716,2011-06,2011-02,4,UK
572303,23424,GINGHAM RECIPE BOOK BOX,8,23-10-11 14:56,4.95,18109,United Kingdom,39.6,2011-10,2010-12,10,UK
579413,82486,3 DRAWER ANTIQUE WHITE WOOD CABINET,2,29-11-11 12:50,8.95,13668,United Kingdom,17.9,2011-11,2011-03,8,UK
573551,22470,HEART OF WICKER LARGE,3,31-10-11 13:35,2.95,15044,United Kingdom,8.85,2011-10,2010-12,10,UK
568202,23548,WRAP MAGIC FOREST,25,25-09-11 15:01,0.42,15366,United Kingdom,10.5,2011-09,2010-12,9,UK
566010,22572,ROCKING HORSE GREEN CHRISTMAS,6,08-09-11 12:05,0.85,13700,United Kingdom,5.1,2011-09,2011-01,8,UK
547327,23052,RECYCLED ACAPULCO MAT TURQUOISE,2,22-03-11 11:28,8.25,12681,France,16.5,2011-03,2010-12,3,International
541265,22661,CHARLOTTE BAG DOLLY GIRL DESIGN,1,16-01-11 16:23,0.85,17609,United Kingdom,0.85,2011-01,2011-01,0,UK
558092,22656,VINTAGE BLUE KITCHEN CABINET,1,26-06-11 12:54,125,14808,United Kingdom,125,2011-06,2011-06,0,UK
567379,22469,HEART OF WICKER SMALL,40,20-09-11 10:02,1.45,13089,United Kingdom,58,2011-09,2010-12,9,UK
567164,48188,DOORMAT WELCOME PUPPIES,1,18-09-11 11:51,8.25,14487,United Kingdom,8.25,2011-09,2011-09,0,UK
566301,82552,WASHROOM METAL SIGN,2,11-09-11 16:06,1.45,16474,United Kingdom,2.9,2011-09,2011-07,2,UK
579531,23328,SET 6 SCHOOL MILK BOTTLES IN CRATE,24,30-11-11 9:18,3.39,17017,United Kingdom,81.36,2011-11,2010-12,11,UK
574234,23426,METAL SIGN DROP YOUR PANTS,6,03-11-11 12:28,2.89,15271,United Kingdom,17.34,2011-11,2010-12,11,UK
563076,22630,DOLLY GIRL LUNCH BOX,320,11-08-11 16:12,1.65,14646,Netherlands,528,2011-08,2010-12,8,International
545059,22507,MEMO BOARD RETROSPOT  DESIGN,4,27-02-11 13:04,4.95,14157,United Kingdom,19.8,2011-02,2011-02,0,UK
558751,22993,SET OF 4 PANTRY JELLY MOULDS,12,03-07-11 11:26,1.25,16009,United Kingdom,15,2011-07,2011-07,0,UK
543658,20723,STRAWBERRY CHARLOTTE BAG,30,11-02-11 10:38,0.85,13819,United Kingdom,25.5,2011-02,2011-02,0,UK
577604,22081,RIBBON REEL FLORA + FAUNA,10,21-11-11 8:57,1.65,14300,United Kingdom,16.5,2011-11,2011-11,0,UK
558768,21534,DAIRY MAID LARGE MILK JUG,2,03-07-11 13:33,4.95,15952,United Kingdom,9.9,2011-07,2011-07,0,UK
538843,22637,PIGGY BANK RETROSPOT,2,14-12-10 13:18,2.55,16033,United Kingdom,5.1,2010-12,2010-12,0,UK
566290,23190,BUNDLE OF 3 SCHOOL EXERCISE BOOKS,1,11-09-11 15:24,1.65,14456,United Kingdom,1.65,2011-09,2011-07,2,UK
565481,22624,IVORY KITCHEN SCALES,2,05-09-11 11:31,8.5,16891,United Kingdom,17,2011-09,2010-12,9,UK
568833,21034,REX CASH+CARRY JUMBO SHOPPER,4,29-09-11 11:39,0.95,17348,United Kingdom,3.8,2011-09,2011-02,7,UK
544788,21669,BLUE STRIPE CERAMIC DRAWER KNOB,12,23-02-11 12:18,1.25,13089,United Kingdom,15,2011-02,2010-12,2,UK
539201,37446,MINI CAKE STAND WITH HANGING CAKES,8,16-12-10 12:11,1.45,14878,United Kingdom,11.6,2010-12,2010-12,0,UK
567968,22578,WOODEN STAR CHRISTMAS SCANDINAVIAN,12,23-09-11 9:44,0.85,12546,Spain,10.2,2011-09,2011-09,0,International
571406,23436,GIFT BAG LARGE VINTAGE CHRISTMAS,12,17-10-11 12:12,1.25,13871,United Kingdom,15,2011-10,2011-03,7,UK
580397,84947,ANTIQUE SILVER TEA GLASS ENGRAVED,3,04-12-11 11:24,1.25,13558,United Kingdom,3.75,2011-12,2011-10,2,UK
556263,23298,SPOTTY BUNTING,4,09-06-11 18:41,4.95,13969,United Kingdom,19.8,2011-06,2010-12,6,UK
561502,84378,SET OF 3 HEART COOKIE CUTTERS,12,27-07-11 14:14,1.25,14305,United Kingdom,15,2011-07,2011-07,0,UK
547969,20674,GREEN POLKADOT BOWL,4,28-03-11 16:27,1.25,17238,United Kingdom,5,2011-03,2010-12,3,UK
546569,84970S,HANGING HEART ZINC T-LIGHT HOLDER,12,15-03-11 10:53,0.85,14016,EIRE,10.2,2011-03,2011-03,0,International
570197,46776A,WOVEN BUBBLE GUM CUSHION COVER,1,07-10-11 15:45,4.95,13755,United Kingdom,4.95,2011-10,2011-10,0,UK
545337,22070,SMALL RED RETROSPOT MUG IN BOX,2,01-03-11 17:28,3.75,15984,United Kingdom,7.5,2011-03,2011-03,0,UK
579288,90206C,CRYSTAL DIAMANTE STAR BROOCH,1,29-11-11 11:05,4.95,17772,United Kingdom,4.95,2011-11,2011-11,0,UK
574532,85025B,EAU DE NILE HEART SHAPE PHOTO FRAME,24,04-11-11 14:19,1.65,15676,United Kingdom,39.6,2011-11,2011-03,8,UK
541568,22371,AIRLINE BAG VINTAGE TOKYO 78,12,19-01-11 12:07,3.75,15606,United Kingdom,45,2011-01,2011-01,0,UK
544278,22630,DOLLY GIRL LUNCH BOX,12,17-02-11 12:01,1.95,15382,United Kingdom,23.4,2011-02,2011-02,0,UK
544798,21754,HOME BUILDING BLOCK WORD,3,23-02-11 13:44,5.95,17063,United Kingdom,17.85,2011-02,2011-02,0,UK
551467,22178,VICTORIAN GLASS HANGING T-LIGHT,12,28-04-11 16:20,1.25,12600,Germany,15,2011-04,2010-12,4,International
541417,22291,HANGING CHICK CREAM DECORATION,4,17-01-11 16:23,1.45,16033,United Kingdom,5.8,2011-01,2010-12,1,UK
545148,22251,BIRDHOUSE DECORATION MAGIC GARDEN,12,28-02-11 12:14,1.25,13675,United Kingdom,15,2011-02,2011-02,0,UK
550723,22386,JUMBO BAG PINK POLKADOT,10,20-04-11 11:19,2.08,17454,United Kingdom,20.8,2011-04,2011-02,2,UK
574011,22470,HEART OF WICKER LARGE,6,02-11-11 11:52,2.95,16884,United Kingdom,17.7,2011-11,2011-11,0,UK
541963,84050,PINK HEART SHAPE EGG FRYING PAN,2,24-01-11 13:06,1.65,17799,United Kingdom,3.3,2011-01,2010-12,1,UK
554711,21559,STRAWBERRY LUNCH BOX WITH CUTLERY,6,26-05-11 10:41,2.55,12654,Germany,15.3,2011-05,2011-02,3,International
549991,22725,ALARM CLOCK BAKELIKE CHOCOLATE,8,14-04-11 8:13,3.75,18229,United Kingdom,30,2011-04,2011-03,1,UK
559064,22197,POPCORN HOLDER,12,06-07-11 10:15,0.85,15673,United Kingdom,10.2,2011-07,2011-01,6,UK
574741,21625,VINTAGE UNION JACK APRON,2,06-11-11 16:13,6.95,15993,United Kingdom,13.9,2011-11,2011-10,1,UK
544637,22262,FELT EGG COSY CHICKEN,24,22-02-11 11:20,0.85,16546,United Kingdom,20.4,2011-02,2010-12,2,UK
574744,22467,GUMBALL COAT RACK,6,07-11-11 7:38,2.55,16612,United Kingdom,15.3,2011-11,2011-02,9,UK
554549,22430,ENAMEL WATERING CAN CREAM,4,25-05-11 9:57,4.95,12747,United Kingdom,19.8,2011-05,2011-01,4,UK
568480,22485,SET OF 2 WOODEN MARKET CRATES,12,27-09-11 11:52,10.95,17490,United Kingdom,131.4,2011-09,2011-09,0,UK
575075,23342,MINT DINER WALL CLOCK,1,08-11-11 13:19,8.5,13975,United Kingdom,8.5,2011-11,2011-03,8,UK
566296,23391,I LOVE LONDON MINI BACKPACK,1,11-09-11 15:47,4.15,17841,United Kingdom,4.15,2011-09,2010-12,9,UK
551516,22433,WATERING CAN GREEN DINOSAUR,3,01-05-11 11:10,1.95,14800,United Kingdom,5.85,2011-05,2010-12,5,UK
538379,22966,GINGERBREAD MAN COOKIE CUTTER,1,12-12-10 11:26,1.25,17126,United Kingdom,1.25,2010-12,2010-12,0,UK
554124,22963,JAM JAR WITH GREEN LID,12,23-05-11 8:31,0.85,13339,United Kingdom,10.2,2011-05,2011-05,0,UK
545399,22321,BIRD DECORATION RED RETROSPOT,12,02-03-11 11:48,0.85,14934,Channel Islands,10.2,2011-03,2011-03,0,International
537111,21929,JUMBO BAG PINK VINTAGE PAISLEY,5,05-12-10 12:08,1.95,14810,United Kingdom,9.75,2010-12,2010-12,0,UK
540642,20750,RED RETROSPOT MINI CASES,2,10-01-11 13:22,7.95,12681,France,15.9,2011-01,2010-12,1,International
573584,84997C,CHILDRENS CUTLERY POLKADOT BLUE,8,31-10-11 14:36,4.15,16705,United Kingdom,33.2,2011-10,2010-12,10,UK
560863,21208,PASTEL COLOUR HONEYCOMB FAN,6,21-07-11 13:53,0.39,12748,United Kingdom,2.34,2011-07,2010-12,7,UK
573264,22382,LUNCH BAG SPACEBOY DESIGN,4,28-10-11 12:36,1.65,14415,United Kingdom,6.6,2011-10,2010-12,10,UK
572552,84569D,PACK 6 HEART/ICE-CREAM PATCHES,2,24-10-11 17:07,2.46,14096,United Kingdom,4.92,2011-10,2011-09,1,UK
560385,21385,IVORY HANGING DECORATION  HEART,3,18-07-11 12:53,0.85,14583,United Kingdom,2.55,2011-07,2011-05,2,UK
